Action taken,Total all,Remedial action taken by— / Employer / Total,Remedial action taken by— / Employer / Pursuant to— Agreement of parties / Informal settlement,Remedial action taken by— / Employer / Pursuant to— Agreement of parties / Formal settlement,Remedial action taken by— / Employer / Pursuant to— Recommendation of administrative law judge / Recommendation of administrative law judge,Remedial action taken by— / Employer / Pursuant to— Order of— Board / Board,Remedial action taken by— / Union / Pursuant to— Order of— Court / Court,Remedial action taken by— / Union / Total,Remedial action taken by— / Union / Pursuant to— Agreement of parties / Informal settlement,Remedial action taken by— / Union / Pursuant to— Agreement of parties / Formal settlement,Remedial action taken by— / Union / Pursuant to— Recommendation of administrative law judge / Recommendation of administrative law judge
A. By number of cases involved,10820,,,,,,,,,,
Notice posted,2159,1694,1126,69,2,307,190,465,371,17,2
Recognition or other assurance withdrawn,44,44,28,6,0,6,4,0,0,0,0
Employer-dominated union disestablished,15,15,9,1,0,5,0,0,0,0,0
Employer offered reinstatement,3006,3006,2329,61,3,324,289,0,0,0,0
Employees placed on preferential hiring list,1031,1031,774,25,2,114,116,0,0,0,0
Hiring hall rights restored,325,0,,,,,,325,260,8,4
Objections to employment withdrawn,315,0,,,,,,315,251,12,1
Picketing ended,229,0,,,,,,229,204,12,1
Work stoppage ended,88,0,,,,,,88,72,5,0
Collective bargaining begun,2258,2015,1798,42,0,97,78,243,218,8,1
Backpay distributed,3070,2692,2131,60,9,245,187,418,325,14,3
"Reimbursement of fees, dues, and fines",1512,1141,848,23,3,143,124,391,318,2,2
Other provisions of employment restored,3979,3240,3120,26,4,54,34,739,725,5,0
Other remedies,0,0,0,0,0,0,0,0,0,0,0
B. By number of employees affected,,,,,,,,,,,
"Employees offered reinstatement, total",10905,10905,9079,172,11,354,1299,0,0,0,0
Accepted,9956,9956,8605,117,1,241,992,0,0,0,0
Declined,949,949,474,55,0,113,307,0,0,0,0
Employees placed on preferential hiring list,708,708,572,108,2,1,25,0,0,0,0
Hiring hall rights restored,51,0,,,,,,51,29,0,0
