row_label,All R elections / Elections conducted / Total elections,All R elections / Elections conducted / Withdrawn or dismissed before certification,All R elections / Elections conducted / Resulting in a rerun or runoff,All R elections / Elections conducted / Resulting in a certification,RC elections / Elections conducted / Total elections,RC elections / Elections conducted / Withdrawn or dismissed before certification,RC elections / Elections conducted / Resulting in a rerun or runoff,RC elections / Elections conducted / Resulting in a certification,RM elections / Elections conducted / Total elections,RM elections / Elections conducted / Withdrawn or dismissed before certification,RM elections / Elections conducted / Resulting in a rerun or runoff,RM elections / Elections conducted / Resulting in a certification,RD elections / Elections conducted / Total elections,RD elections / Elections conducted / Withdrawn or dismissed before certification,RD elections / Elections conducted / Resulting in a rerun or runoff,RD elections / Elections conducted / Resulting in a certification
All types,4722,7,101,4614,3639,7,87,3545,204,0,0,204,879,0,14,865
Rerun required,,,69,,,,60,,,,0,,,,9,
Runoff required,,,32,,,,27,,,,0,,,,5,
Consent elections,116,0,1,115,71,0,1,70,11,0,0,11,34,0,0,34
Rerun required,,,1,,,,1,,,,0,,,,0,
Runoff required,,,0,,,,0,,,,0,,,,0,
Stipulated elections,3785,6,68,3711,2925,6,61,2858,151,0,0,151,709,0,7,702
Rerun required,,,47,,,,41,,,,0,,,,6,
Runoff required,,,21,,,,20,,,,0,,,,1,
Regional Director-directed,784,1,25,758,620,1,21,598,41,0,0,41,123,0,4,119
Rerun required,,,15,,,,13,,,,0,,,,2,
Runoff required,,,10,,,,8,,,,0,,,,2,
Board-directed,34,0,7,27,22,0,4,18,0,0,0,0,12,0,3,9
Rerun required,,,5,,,,4,,,,0,,,,1,
Runoff required,,,2,,,,0,,,,0,,,,2,
Expedited—Sec. 8(b)(7)(C),3,0,0,3,1,0,0,1,1,0,0,1,1,0,0,1
