row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
Proceedings decided by US courts of appeals,212,160,46,1,5,,,,,,
On petitions for review and/or enforcement,189,141,42,1,5,100 0,100 0,100 0,100 0,9096,100 0
Board orders affirmed in full,158,118,35,1,4,837,833,100 0,800,5844,642
Board orders affirmed with modification,9,7,2,0,0,50,48,00,00,1343,148
Remanded to Board,12,6,5,0,1,4 2,11 9,00,200,438,4 8
Board orders partially affirmed and partially remanded,2,2,0,0,0,14,00,00,00,165,18
Board orders set aside,8,8,0,(3,0,57,00,00,00,1306,144
On petitions for contempt,23,19,4,0,0,1000,10() 0,,,,
"Compliance after filing of petition, before court order",4,4,0,0,0,21 1,00,,,,
Court orders holding respondent in contempt,17,13,4,0,0,684,11830,,,,
Court orders denying petition,2,2,0,0,0,105,00,,,,
Court orders directing compliance without contempt adjudication,0,0,0,0,0,00,00,,,,
Contempt petitions withdrawn without compliance,0,0,0,0,0,00,00,,,,
Proceedings decided by U S Supreme Court,3,1,1,1,0,1000,1000,1000,,242,1000
Board orders affirmed in full,2,1,1,0,0,100 0,100 0,00,,146,603
Board orders affirmed with modification,0,0,0,0,0,00,00,00,,18,7 5
Board orders set aside,1,0,0,1,0,00,00,1000,,40,16 5
Remanded to Board,0,0,0,0,0,00,00,00,,19,79
Remanded to court of appeals,0,0,0,0,0,00,00,00,,16,6 6
Board's request for remand or modification of enforcement order denied,0,0,0,0,0,00,00,00,,1,04
Contempt cases remanded to court of appeals,0,0,0,0,0,00,00,00,,1,04
,0,0,0,0,0,00,00,00,,1,04
Contempt cases enforced,,,,,,,,,,,
