row_label,Total fiscal year 1985,Total fiscal years 1980-1984,Affirmed in full / Fiscal year 1985 / Number,Affirmed in full / Fiscal year 1985 / Percent,Affirmed in full / Cumulative fiscal years 1980-1984 / Number,Affirmed in full / Cumulative fiscal years 1980-1984 / Percent,Modified / Fiscal year 1985 / Number,Modified / Fiscal year 1985 / Percent,Modified / Cumulative fiscal years 1980-1984 / Number,Modified / Cumulative fiscal years 1980-1984 / Percent,Remanded in full / Fiscal year 1985 / Number,Remanded in full / Fiscal year 1985 / Percent,Remanded in full / Cumulative fiscal years 1980-1984 / Number,Remanded in full / Cumulative fiscal years 1980-1984 / Percent,Affirmed in part and remanded in part / Fiscal year 1985 / Number,Affirmed in part and remanded in part / Fiscal year 1985 / Percent,Affirmed in part and remanded in part / Cumulative fiscal years 1980-1984 / Number,Affirmed in part and remanded in part / Cumulative fiscal years 1980-1984 / Percent,Set aside / Fiscal year 1985 / Number,Set aside / Fiscal year 1985 / Percent,Set aside / Cumulative fiscal years 1980-1984 / Number,Set aside / Cumulative fiscal years 1980-1984 / Percent
Total all circuits,189,1949,108,58,1282,65,9,4.8,213,10.9,12,6.3,132,6.8,2,1.1,55,2.8,8,4.2,267,13.7
"1. Boston, MA",2,76,2,100.0,49,64.5,0,0.0,12,15.8,0,0.0,5,6.6,0,0.0,2,2.6,0,0.0,8,10.5
"2. New York, NY",17,143,13,76.5,100,69.9,0,0.0,17,11.9,1,5.9,9,6.3,0,0.0,4,2.8,1,5.9,13,9.1
"3. Phila., PA",17,163,10,58.8,121,74.2,1,5.9,9,5.5,0,0.0,5,3.1,0,0.0,2,1.2,1,5.9,19,11.7
"4. Richmond, VA",6,80,3,50.0,54,67.5,1,16.7,8,10.0,1,16.7,5,6.3,0,0.0,1,1.3,1,16.7,12,15.0
"5. New Orleans, LA",11,139,8,72.7,91,65.5,1,9.1,13,9.4,1,9.1,5,3.6,0,0.0,5,3.6,1,9.1,25,18.0
"6. Cincinnati, OH",35,306,23,65.7,210,68.6,1,2.9,23,7.5,0,0.0,21,6.9,0,0.0,10,3.3,1,2.9,30,9.8
"7. Chicago, IL",16,168,11,68.8,110,65.5,1,6.3,13,7.7,1,6.3,13,7.7,0,0.0,9,5.4,0,0.0,23,13.7
"8. St. Louis, MO",13,120,6,46.2,82,68.3,1,7.7,14,11.7,1,7.7,10,8.3,0,0.0,5,4.2,1,7.7,12,10.0
"9. San Francisco, CA",38,371,16,42.1,246,66.3,1,2.6,47,12.7,5,13.2,26,7.0,1,2.6,10,2.7,1,2.6,42,11.3
"10. Denver, CO",8,97,4,50.0,70,72.2,1,12.5,5,5.2,0,0.0,9,9.3,1,12.5,3,3.1,1,12.5,10,10.3
"11. Atlanta, GA",25,215,12,48.0,140,65.1,2,8.0,32,14.9,1,4.0,13,6.0,0,0.0,4,1.9,1,4.0,29,13.5
"12. Washington, DC",1,71,0,0.0,47,66.2,0,0.0,9,12.7,1,100.0,5,7.0,0,0.0,1,1.4,0,0.0,9,12.7
