Case status,Total,Identification of filing party — AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
"All cases — Pending October 1, 1985",19271,7497,2055,549,1111,6143,1916
All cases — Received fiscal 1986,42322,14348,4363,1049,1743,17206,3613
All cases — On docket fiscal 1986,61593,21845,6418,1598,2854,23349,5529
All cases — Closed fiscal 1986,41604,13709,4481,855,1708,17015,3836
"All cases — Pending September 30, 1986",19989,8136,1937,743,1146,6334,1693
"Unfair labor practice cases — Pending October 1, 1985",16395,6274,1536,470,902,5606,1607
Unfair labor practice cases — Received fiscal 1986,34435,11181,2837,860,1247,15376,2934
Unfair labor practice cases — On docket fiscal 1986,50830,17455,4373,1330,2149,20982,4541
Unfair labor practice cases — Closed fiscal 1986,33450,10517,2876,656,1208,15129,3064
"Unfair labor practice cases — Pending September 30, 1986",17380,6938,1497,674,941,5853,1477
"Representation cases — Pending October 1, 1985",2640,1187,509,77,194,460,213
Representation cases — Received fiscal 1986,7296,3027,1482,180,467,1615,525
Representation cases — On docket fiscal 1986,9936,4214,1991,257,661,2075,738
Representation cases — Closed fiscal 1986,7532,3054,1570,190,473,1652,593
"Representation cases — Pending September 30, 1986",2404,1160,421,67,188,423,145
"Union-shop deauthorization cases — Pending October 1, 1985",77,,,,,77,0
Union-shop deauthorization cases — Received fiscal 1986,209,,,,,209,0
Union-shop deauthorization cases — Closed fiscal 1986,228,,,,,228,0
"Union-shop deauthorization cases — Pending September 30, 1986",58,,,,,58,0
"Amendment of certification cases — Pending October 1, 1985",12,5,1,0,6,0,0
Amendment of certification cases — Received fiscal 1986,27,13,12,1,1,0,0
"Unit clarification cases — Pending October 1, 1985",147,31,9,1,10,0,96
Unit clarification cases — Received fiscal 1986,355,127,32,8,28,6,154
