Action taken,Total all,Remedial action taken by — Employer Total,Employer — Pursuant to — Agreement of parties Informal settlement,Employer — Pursuant to — Agreement of parties Formal settlement,Employer — Recommendation of administrative law judge,Employer — Order of Board,Employer — Order of Court,Remedial action taken by — Union Total,Union — Pursuant to — Agreement of parties Informal settlement,Union — Pursuant to — Agreement of parties Formal settlement,Union — Recommendation of administrative law judge,Union — Order of Board,Union — Order of Court
A. By number of cases involved,10793,,,,,,,,,,,,
Notice posted,1418,1259,873,76,6,187,117,159,102,12,0,35,10
Employees reinstated,1253,1253,1049,15,0,111,78,0,0,0,0,0,0
Employees offered preferential hiring list,430,430,402,5,0,18,5,0,0,0,0,0,0
Hiring hall rights restored,93,0,,,,,,93,76,1,0,13,3
Objections to employment withdrawn,87,0,0,0,0,0,0,87,72,1,0,12,2
Backpay (monetary) — total,3063,2883,2648,9,7,107,82,180,153,1,0,9,0
"Reimbursement of fees, dues, and fines",597,457,432,2,0,14,9,140,115,0,0,24,1
Other — Conditions of employment improved,3162,2182,2107,9,3,50,13,980,966,1,0,9,4
B. By number of employers affected — Employees offered reinstatement total,3196,3196,2319,51,13,449,364,,,,,,
B — Accepted,2514,2514,1918,39,8,370,179,,,,,,
B — Declined,682,682,401,12,5,79,185,,,,,,
