Method and stage of disposition,All C cases Number,All C cases Percent of total method closed,CA cases Number,CA cases Percent of total closed,CB cases Number,CB cases Percent of total closed,CC cases Number,CC cases Percent of total closed,CD cases Number,CD cases Percent of total closed,CE cases Number,CE cases Percent of total closed,CG cases Number,CG cases Percent of total closed,CP cases Number,CP cases Percent of total closed
Supreme Court action (carryforward),9,0.0,6,0.0,0,0.0,1,0.1,0,0.0,0,0.0,1,1.3,0,0.0
Withdrawal,10416,31.1,7000,30.2,2888,32.3,427,32.3,0,0.0,27,36.0,6,30.0,109,40.9
Withdrawal — Before issuance of complaint,10174,30.4,7160,30.8,2457,29.7,418,31.7,0,0.0,25,33.3,6,30.0,108,40.6
"Withdrawal — After issuance of complaint, before opening of hearing",220,0.7,182,0.7,27,0.3,8,0.6,0,0.0,2,2.6,0,0.0,1,0.3
Dismissal,11977,35.8,7946,34.3,3447,41.7,180,13.6,1,0.3,23,30.6,3,15.0,64,24.0
Dismissal — Before issuance of complaint,11054,33.0,6836,29.4,3376,40.8,181,12.7,0,0.0,23,25.5,2,10.0,60,22.5
Dismissal — By administrative law judge's decision,6,0.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dismissal — By Board decision (subtotal),817,2.4,556,2.4,232,2.8,18,1.4,0,0.0,0,0.0,0,0.0,5,1.9
10(k) actions (see Table 7A for details of dispositions) Otherwise (compliance with order of administrative law judge or Board not achieved — firm went out of business),315,0.9,0,0.0,0,0.0,0,0.0,315,97.5,0,0.0,0,0.0,0,0.0
Otherwise (compliance with order of ALJ or Board not achieved — firm went out of business),95,0.3,88,0.4,6,0.1,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4
