Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Total number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
Nevada (RD),10,0,0,0,0,0,9,268,250,76,76,0,0,0,174,24
Mountain — Division subtotal (RD),53,11,7,4,0,0,42,2073,1883,662,221,0,0,0,1190,598
Washington (RD),31,10,8,5,0,0,21,1106,909,386,242,123,0,21,523,327
Oregon (RD),18,7,7,0,0,0,11,1087,969,471,232,0,0,0,498,460
California (RD),118,24,14,13,0,2,89,3435,2837,1112,698,80,0,120,1725,1289
Alaska (RD),4,0,0,0,0,0,4,50,49,6,6,0,0,0,43,50
Hawaii (RD),6,2,1,0,0,0,4,217,213,86,26,24,0,60,127,58
Guam (RD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific — Division subtotal (RD),210,49,20,21,0,2,161,5913,4968,2064,1242,94,0,152,2904,2167
Puerto Rico (RD),4,4,0,4,0,0,0,215,215,207,0,80,0,127,8,0
Virgin Islands (RD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outlying Areas — subtotal (RD),4,4,0,4,0,0,0,215,215,207,0,80,0,127,8,0
"Total, all States and areas — RD GRAND TOTAL",857,211,131,59,0,12,646,36221,31028,14326,10647,2026,232,1421,16702,15727
