Industrial group,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Total number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
Mining and quarrying of nonmetallic minerals (except fuels),7,3,2,1,0,0,4,287,251,98,96,2,0,0,153,8
Mining — subtotal,36,12,11,1,0,0,24,3066,2829,1101,823,9,209,60,1728,366
Construction,199,89,72,9,3,5,110,4346,3766,1905,1632,133,18,122,1861,2121
Wholesale trade,386,141,51,84,2,4,245,13033,11509,5044,2512,1852,273,407,6465,4583
Retail trade,501,176,100,62,3,11,325,17393,15343,6377,3929,1568,61,819,8966,7553
"Finance, insurance, and real estate",83,33,22,7,0,1,50,4290,1996,651,458,41,4,142,1345,2047
US Postal Service,13,4,1,1,0,2,9,145,134,76,26,41,6,3,58,25
Local and suburban transit and interurban highway passenger transportation,53,34,25,5,1,3,19,2618,2043,1197,529,511,17,140,846,1841
Motor freight transportation and warehousing,273,105,30,70,0,5,168,6358,5939,2884,514,1896,217,257,3055,2883
Water transportation,16,5,3,0,0,2,11,1376,1172,449,187,161,30,71,723,491
Transportation by air,29,12,8,2,0,1,17,1485,1411,605,458,127,20,0,806,1054
"Pipelines, except natural gas",6,1,0,1,0,0,5,47,31,25,0,25,0,0,6,16
Communication,95,41,14,14,0,3,54,17586,14793,7628,1166,747,51,24,7165,9234
"Electric, gas, and sanitary services",89,35,24,8,0,3,54,1728,982,251,232,12,0,7,731,836
"Transportation, communications, and other utilities — subtotal",561,233,116,110,0,19,328,16728,14820,7393,3571,2797,391,414,7427,7178
"Hotels, rooming houses, camps, and other lodging places",73,32,24,3,0,5,41,3970,3876,1782,1794,178,0,99,2003,1861
Personal services,58,24,16,8,0,0,34,1025,1000,562,297,105,0,0,438,600
"Automotive repair services, and garages",73,41,18,21,0,2,32,1225,1096,574,213,549,0,84,522,825
Motion pictures,20,5,4,0,0,1,15,1758,753,470,252,53,0,19,280,1366
"Amusement and recreation services, except motion pictures",34,12,7,2,0,1,22,2182,1367,528,381,0,0,125,839,726
Health services,373,180,145,18,0,17,193,36378,31533,14927,10648,1001,1111,2167,15910,13331
Educational services,28,6,5,1,0,0,22,992,911,432,363,13,0,56,479,596
Membership organizations,25,5,4,0,0,1,20,786,761,297,257,23,0,17,410,523
Business services,207,123,78,18,6,0,84,7772,6361,3802,2410,589,295,225,2559,4605
Miscellaneous repair services,50,25,11,3,1,8,25,866,769,343,225,29,0,89,426,475
