row_label,Section/sub-section,Total proceedings,"Injunction proceedings — Pending in district court Oct 1, 1985",Injunction proceedings — Filed in district court fiscal year 1986,Total dispositions,Disposition of injunctions — Granted,Disposition of injunctions — Denied,Disposition of injunctions — Settled,Disposition of injunctions — Withdrawn,Disposition of injunctions — Dismissed,Disposition of injunctions — Inactive,"Pending in district court Sept 30, 1986"
Under Sec 10(e) total,2,0,2,2,2,0,0,0,0,0,0,0
Under Sec 10(j) total,27,2,25,22,12,1,6,1,0,0,2,5
8(a)(1)(3),6,1,6,6,4,0,2,1,0,0,1,0
8(a)(1)(3)(4),1,1,0,0,1,0,0,0,0,0,0,1
8(a)(1)(3)(5),1,0,1,1,1,0,0,0,0,0,0,0
8(a)(1)(3)(4)(5),12,1,12,12,7,1,3,0,0,0,1,0
8(a)(1)(5),2,0,2,2,1,0,1,0,0,0,0,0
8(b)(1),3,2,1,1,1,0,0,0,0,0,0,2
"8(b)(1),8(a)(1)(3)(5)",1,0,1,1,0,0,0,0,0,0,0,1
8(g),1,0,1,1,1,0,0,0,0,0,0,0
Under Sec 10(l) total,48,8,40,37,17,2,15,2,0,1,1,11
8(b)(4)(A),1,1,0,1,0,0,1,0,0,0,0,0
8(b)(4)(A)(B),1,0,1,1,1,0,0,0,0,0,0,0
8(b)(4)(B),30,2,28,23,12,1,7,2,0,0,1,7
8(b)(4)(B)(D),1,0,1,1,1,0,0,0,0,0,0,0
"8(b)(4)(B),7(C)",1,0,1,1,0,0,0,0,0,0,0,1
"8(b)(4)(B),8(e)",1,0,1,1,0,0,1,0,0,0,0,0
8(b)(4)(D),4,2,2,4,2,0,2,0,0,0,0,0
"8(b)(4)(D),7(C)",1,1,0,1,0,0,1,0,0,0,0,0
8(b)(7)(A),2,0,2,2,0,0,1,0,0,1,0,0
8(b)(7)(B),1,1,0,0,0,0,0,0,0,0,0,1
8(b)(7)(C),5,1,4,4,2,0,2,0,0,0,0,1
8(e),1,0,1,1,0,1,0,0,0,0,0,0
