row_label,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
RC cases,,,,,,,
"Pending October 1, 1986",1829,1158,418,65,181,7,
Received fiscal 1987,5036,2934,1505,168,422,7,
On docket fiscal 1987,6864,4091,1923,233,603,14,
Closed fiscal 1987,5052,2973,1472,168,428,11,
"Pending September 30, 1987",1812,1118,451,65,175,3,
RM cases,,,,,,,
"Pending October 1, 1986",145,,,,,,145
Received fiscal 1987,542,,,,,,542
On docket fiscal 1987,687,,,,,,687
Closed fiscal 1987,514,,,,,,514
"Pending September 30, 1987",173,,,,,,173
RD cases,,,,,,,
"Pending October 1, 1986",430,,,0,0,430,0
Received fiscal 1987,1416,,,0,0,1416,0
On docket fiscal 1987,1846,,,0,0,1846,0
Closed fiscal 1987,1399,,,0,0,1399,0
"Pending September 30, 1987",447,,,0,0,447,0
