row_label,Objections filed,Objections withdrawn,Objections ruled upon,Overruled / Number,Overruled / Percent of total ruled upon,Sustained / Number,Sustained / Percent of total ruled upon
All representation elections,504,107,397,304,76.6,93,23.4
By type of case:,,,,,,,
RC cases,442,101,341,259,76.0,82,24.0
RM cases,11,0,11,9,81.8,2,18.2
RD cases,51,6,45,36,80.0,9,20.0
By type of election:,,,,,,,
Consent elections,11,1,10,6,60.0,4,40.0
Stipulated elections,383,55,328,257,78.4,71,21.6
Expedited elections,0,0,0,0,,0,
Regional Director-directed elections,106,50,56,40,71.4,16,28.6
Board-directed elections,4,1,3,1,33.3,2,66.7
