Type of litigation,Number of proceedings / Total - all courts / Number decided,Number of proceedings / Total - all courts / Court determination / Upholding Board position,Number of proceedings / Total - all courts / Court determination / Contrary to Board position,Number of proceedings / In courts of appeals / Number decided,Number of proceedings / In courts of appeals / Court determination / Upholding Board position,Number of proceedings / In courts of appeals / Court determination / Contrary to Board position,Number of proceedings / In district courts / Number decided,Number of proceedings / In district courts / Court determination / Upholding Board position,Number of proceedings / In district courts / Court determination / Contrary to Board position,Number of proceedings / In bankruptcy courts / Number decided,Number of proceedings / In bankruptcy courts / Court determination / Upholding Board position,Number of proceedings / In bankruptcy courts / Court determination / Contrary to Board position
Total - all types,35,31,4,13,10,3,17,16,1,5,5,0
NLRB-initiated actions or interventions,4,4,0,2,2,0,2,2,0,0,0,0
To enforce subpoena,2,2,0,0,0,0,2,2,0,0,0,0
To prevent conflict between NLRA and 301 suits,2,2,0,2,2,0,0,0,0,0,0,0
Action by other parties,31,27,4,11,8,3,15,14,1,5,5,0
To restrain NLRB from:,,,,,,,,,,,,
Proceeding in R case,1,1,0,0,0,0,1,1,0,0,0,0
Proceeding in unfair labor practice case,2,2,0,2,1,1,0,0,0,0,0,0
To compel NLRB,24,20,4,8,6,2,13,12,1,3,3,0
Issue complaint,8,8,0,1,1,0,7,7,0,0,0,0
Pay backpay in R case,3,3,0,0,0,0,3,3,0,0,0,0
Comply with Freedom of Information Act,4,3,1,1,0,1,3,3,0,0,0,0
Pay fees under Equal Access to Justice Act,5,2,3,4,2,1,0,0,0,0,0,0
Pay fees in FOIA,1,1,0,1,1,0,0,0,0,0,0,0
Comply with third-party subpoena,3,3,0,1,1,0,0,0,0,2,2,0
