Status,Identification of filing party — Total,Identification of filing party — AFL-CIO unions,Identification of filing party — Teamsters,Identification of filing party — Other national unions,Identification of filing party — Other local unions,Identification of filing party — Individuals,Identification of filing party — Employers
"Pending October 1, 1987",19923,8558,1925,639,1176,5980,1645
Received fiscal 1988,39351,14128,4234,854,1988,15109,3038
On docket fiscal 1988,59274,22686,6159,1493,3164,21089,4683
Closed fiscal 1988,37701,13718,3963,708,1829,14363,3120
"Pending September 30, 1988",21573,8968,2196,785,1335,6726,1563
"Pending October 1, 1987",17309,7400,1466,576,973,5518,1376
Received fiscal 1988,31453,10422,2652,724,1460,13688,2507
On docket fiscal 1988,48762,17822,4118,1300,2433,19206,3883
Closed fiscal 1988,30090,10180,2462,564,1329,12951,2604
"Pending September 30, 1988",18672,7642,1656,736,1104,6255,1279
"Pending October 1, 1987",2409,1116,447,61,190,418,177
Received fiscal 1988,7348,3548,1538,122,492,1256,392
On docket fiscal 1988,9757,4664,1985,183,682,1674,569
Closed fiscal 1988,7110,3397,1462,137,464,1255,395
"Pending September 30, 1988",2647,1267,523,46,218,419,174
"Pending October 1, 1987",43,,,,,43,
Received fiscal 1988,165,,,,,165,
On docket fiscal 1988,208,,,,,208,
Closed fiscal 1988,156,,,,,156,
"Pending September 30, 1988",52,,,,,52,
"Pending October 1, 1987",12,5,1,0,5,0,1
Received fiscal 1988,37,17,2,0,12,0,6
On docket fiscal 1988,49,22,3,0,17,0,7
Closed fiscal 1988,30,10,2,0,13,0,5
"Pending September 30, 1988",19,12,1,0,4,0,2
"Pending October 1, 1987",150,37,11,2,8,1,91
Received fiscal 1988,348,141,42,1,8,24,133
On docket fiscal 1988,498,178,53,10,32,1,224
Closed fiscal 1988,315,131,37,7,23,1,116
"Pending September 30, 1988",183,47,16,5,7,0,108
