Stage / Case type,Total,Identification of filing party — AFL-CIO unions,Identification of filing party — Teamsters,Identification of filing party — Other national unions,Identification of filing party — Other local unions,Identification of filing party — Individuals,Identification of filing party — Employers
"Pending October 1, 1988",21696,9002,2214,788,1351,6771,1570
Received fiscal 1989,40878,15136,4189,1023,1645,15083,3802
On docket fiscal 1989,62574,24138,6403,1811,2996,21854,5372
Closed fiscal 1989,37993,14379,4029,851,1651,14140,2943
"Pending September 30, 1989",24581,9759,2374,960,1345,7714,2429
"Pending October 1, 1988 (ULP)",18769,7666,1669,739,1117,6293,1285
Received fiscal 1989 (ULP),32401,10768,2562,861,1172,13679,3359
On docket fiscal 1989 (ULP),51170,18434,4231,1600,2289,19972,4644
Closed fiscal 1989 (ULP),29910,10289,2405,720,1192,12805,2499
"Pending September 30, 1989 (ULP)",21260,8145,1826,880,1097,7167,2145
"Pending October 1, 1988 (Rep)",2668,1276,528,46,221,422,175
Received fiscal 1989 (Rep),7908,4227,1588,146,418,1219,310
On docket fiscal 1989 (Rep),10576,5503,2116,192,639,1641,485
Closed fiscal 1989 (Rep),7567,3957,1587,118,417,1176,312
"Pending September 30, 1989 (Rep)",3009,1546,529,74,222,465,173
"Pending October 1, 1988 (UD)",56,,,,,56,
Received fiscal 1989 (UD),185,,,,,185,
On docket fiscal 1989 (UD),241,,,,,241,
Closed fiscal 1989 (UD),159,,,,,159,
"Pending September 30, 1989 (UD)",82,,,,,82,
"Pending October 1, 1988 (AC)",19,12,1,0,4,0,2
Received fiscal 1989 (AC),32,16,4,0,4,0,8
On docket fiscal 1989 (AC),51,28,5,0,8,0,10
Closed fiscal 1989 (AC),34,19,4,0,4,0,7
"Pending September 30, 1989 (AC)",17,9,1,0,4,0,3
"Pending October 1, 1988 (UC)",184,48,16,3,9,0,108
Received fiscal 1989 (UC),352,125,35,16,45,0,131
On docket fiscal 1989 (UC),536,173,51,19,54,0,239
Closed fiscal 1989 (UC),323,114,33,13,34,0,129
"Pending September 30, 1989 (UC)",213,59,18,6,20,0,110
