Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Total number of cases closed,29910,100.0,20987,100.0,7403,100.0,923,100.0,251,100.0,69,100.0,21,100.0,256,100.0
Agreement of the parties,9071,30.3,6003,28.6,1235,16.6,444,48.1,2,0.7,13,18.8,9,42.8,88,34.3
  Informal settlement,8941,29.9,5909,28.2,1216,16.4,427,46.2,2,0.7,12,17.4,9,42.8,88,34.3
    Before issuance of complaint,6473,21.6,5100,24.3,937,12.6,355,38.2,,,10,14.4,8,38.0,65,25.3
"    After issuance of complaint, before opening of hearing",2421,8.1,1667,7.9,269,3.6,69,7.4,1,0.4,2,2.9,1,4.7,20,7.8
"    After hearing opened, before issuance of administrative law judge's decision",47,0.2,36,0.2,10,0.1,0,0.0,0,0.0,0,0.0,0,0.0,3,1.1
  Formal settlement,130,0.4,94,0.4,19,0.2,17,1.8,0,0.0,1,1.4,0,0.0,0,0.0
Compliance with,798,2.7,609,2.9,114,1.5,8,0.8,1,0.4,0,0.0,1,4.7,2,0.7
  Administrative law judge's decision,28,0.1,4,0.0,24,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
  Board decision,770,2.6,605,2.9,90,1.2,8,0.8,1,0.4,0,0.0,1,4.7,1,0.4
