row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which no representative was chosen / AFL-CIO unions,Total number of employees eligible to vote / Teamsters,Valid votes cast for unions / Other national unions,Eligible employees in elections in which employees chose no representation / Other local unions,Number of elections in which no representative was chosen,Total number of employees eligible to vote,Total valid votes cast,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Eligible employees in elections in which employees chose no representation
Nevada,28,15,9,6,0,0,13,2060,1659,626,371,155,0,0,1033
Mountain,206,104,79,21,2,2,112,14475,12503,5969,4490,271,155,170,6534
Washington,135,68,43,16,5,4,67,8791,6858,4150,3882,773,273,268,3412
Oregon,81,33,25,8,0,0,46,2915,2568,1128,662,423,25,18,1140
California,517,252,146,90,7,9,265,32587,26645,12718,7112,4713,347,546,13927
Alaska,13,6,4,1,1,0,6,359,313,161,133,28,0,0,46
Hawaii,45,15,13,2,0,0,29,1829,747,608,68,23,23,0,1082
Pacific,794,375,231,117,13,14,419,46897,38260,18927,11420,5567,1172,768,19442
Puerto Rico,53,27,4,5,18,0,26,3712,3282,1729,730,229,770,0,1553
Virgin Islands,5,2,2,0,0,0,3,369,329,196,194,0,0,0,135
Outlying Areas,58,29,6,5,18,0,29,4081,3611,1923,946,229,770,0,1688
"Total, All States and areas",4210,1965,1282,494,55,134,2245,261385,229242,108198,75287,21885,4231,6795,121044
