row_label,col_1,col_2,col_3,col_4,col_5,col_6
Hearmgs completed. total,893,874,763,30,81,4
Initial hearings,745,731,633,27,71,4
Hearmgs on objections and/or challenges,148,143,130,3,10,
"Decisions issued, total",769,746,651,26,64,5
By Regional Directors,696,676,589,23,59,5
Elections directed,613,602,525,15,58,4
Dismissals on record,83,74,64,8,,1
By Board,73,70,62,3,5,0
Transferred by Regional Directors for initial de- cision,6,6,5,0,1,0
Elections directed,2,2,2,0,0,0
Dismissals on record,4,4,3,0,1,
Review of Regional Directors' decisions:,,,,,,
Requests for review received,325,313,276,13,24,0
Withdrawn before request ruled upon,15,14,13,0,1,0
"Board action on request ruled upon, total",299,288,251,10,27,0
Granted,44,44,37,4,3,
Denied,239,229,201,6,22,
Remanded,16,15,13,0,2,
"Withdrawn after request granted, before Board review .",2,2,2,0,0,0
"Board decision after review, total",67,64,57,3,4,0
Regional Directors' decisions,,,,,,
Affirmed,17,17,15,1,1,
Modified,26,24,23,0,1,
Reversed,23,23,19,2,2,
Outcome.,,,,,,
Election directed,59,56,50,2,4,0
Dismissals on record,8,8,7,,0,0
