Action taken,Total all,Employer — Total,Employer — Agreement of parties — Informal settlement,Employer — Agreement of parties — Formal settlement,Employer — Recommendation of administrative law judge,Employer — Order of Board,Employer — Order of Court,Union — Total,Union — Agreement of parties — Informal settlement,Union — Agreement of parties — Formal settlement,Union — Recommendation of administrative law judge,Union — Order of Board,Union — Order of Court
A. By number of cases involved — Total,10715,,,,,,,,,,,,
Notice posted,3083,2363,1781,82,7,350,143,720,580,44,1,73,22
Recognition or other assistance withdrawn,19,19,17,0,0,2,0,,,,,,
Employer-dominated union disestablished,3,3,0,0,0,3,0,,,,,,
Employees offered reinstatement,2558,2558,2121,33,19,238,127,,,,,,
Employees placed on preferential hiring list,1304,1104,951,16,6,86,45,,,,,,
Hiring lists restored,169,,,,,,,169,123,19,0,22,5
Objections to employment withdrawn,167,,,,,,,167,121,19,0,22,5
Picketing ended,55,,,,,,,55,49,2,0,1,3
Work stoppage ended,10,,,,,,,10,9,0,0,1,0
Collective bargaining begun,3014,2860,2599,51,11,139,60,154,138,0,6,8,2
Backpay distributed,4779,3921,3479,63,17,245,117,858,767,32,19,30,10
"Reimbursement of fees, dues, and fines",2884,2163,1953,27,10,117,56,721,659,19,2,36,5
Other conditions of employment remedied,1,1,0,0,0,0,1,,,,,,
Other remedies,0,0,0,0,0,0,0,,,,,,
