Case stage,Total,Identification of filing party — AFL-CIO unions,Identification of filing party — Teamsters,Identification of filing party — Other national unions,Identification of filing party — Other local unions,Identification of filing party — Individuals,Identification of filing party — Employers
"RC cases — Pending October 1, 1991",2418,1553,569,99,196,1,
RC cases — Received fiscal 1992,4697,2996,1254,158,289,0,
RC cases — On docket fiscal 1992,7115,4549,1823,257,485,1,
RC cases — Closed fiscal 1992,4538,2707,1342,164,325,0,
"RC cases — Pending September 30, 1992",2577,1842,481,93,160,1,
"RM cases — Pending October 1, 1991",128,,,,,,128
RM cases — Received fiscal 1992,249,,,,,,249
RM cases — On docket fiscal 1992,377,,,,,,377
RM cases — Closed fiscal 1992,232,,,,,,232
"RM cases — Pending September 30, 1992",145,,,,,,145
"RD cases — Pending October 1, 1991",412,2,0,1,2,407,
RD cases — Received fiscal 1992,1130,0,0,0,0,1130,
RD cases — On docket fiscal 1992,1542,2,0,1,2,1537,
RD cases — Closed fiscal 1992,1090,0,0,0,0,1090,
"RD cases — Pending September 30, 1992",452,2,0,1,2,447,
