Action taken,Total all,Employer — Total,Employer — Agreement of parties — Informal settlement,Employer — Agreement of parties — Formal settlement,Employer — Pursuant to — Recommendation of administrative law judge,Employer — Order of — Board,Employer — Order of — Court,Union — Total,Union — Agreement of parties — Informal settlement,Union — Agreement of parties — Formal settlement,Union — Pursuant to — Recommendation of administrative law judge,Union — Order of — Board,Union — Order of — Court
"B. By employees affected — Employees offered reinstatement, total",3811,3811,2896,390,83,209,233,,,,,,
Accepted,3216,3216,2564,331,81,138,102,,,,,,
Declined,595,595,332,59,2,71,131,,,,,,
Employees placed on preferential hiring list,330,330,169,127,8,11,15,0,0,0,0,0,0
Hiring hall rights restored,60,,,,,,,60,57,0,0,1,2
Objections to employees withdrawn,21,,,,,,,21,,,,,
Employees receiving backpay — From either employer or union,21549,21193,15969,632,96,3118,1378,356,325,17,0,9,5
Employees receiving backpay — From both employer and union,49,44,44,0,0,0,0,,,,,,
"Employees reimbursed for fees, dues, etc fines — From either employer or union",590,315,232,0,0,47,36,275,260,0,0,0,15
"Employees reimbursed for fees, dues, etc fines — From both employer and union",237,64,64,0,0,0,0,173,173,0,0,0,0
