Industrial group,All cases,All ULP cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
"Manufacturing — Measuring, analyzing, and controlling instruments; photographic, medical, and optical goods, watches and clocks",165,112,98,10,2,0,0,0,0,,,,,,,
Manufacturing — Miscellaneous manufacturing,352,293,178,70,9,0,0,0,0,,,,,,,
Manufacturing TOTAL,11547,10325,7279,2779,59,34,0,0,27,1164,1097,54,415,37,6,75
Mining TOTAL,559,512,398,83,25,0,0,2,0,,,,10,,,
Construction,4740,3377,3171,859,291,149,14,0,55,1143,1063,68,74,15,,
Wholesale trade,1322,,,,,,,,,,,,,,,
Retail trade,2824,,,,,,,,,,,,,,,
U.S. Postal Service,1034,,,,,,,,,,,,,,,
Health Services,2602,,,,,,,,,,,,,,,
Business services,1954,,,,,,,,,,,,,,,
