Method and stage of disposition,All cases — Number,All cases — Per cent of total cases closed,CA cases — Number,CA cases — Per cent of total method,CB cases — Number,CB cases — Per cent of total method,CC cases — Number,CC cases — Per cent of total method,CD cases — Number,CD cases — Per cent of total method,CE cases — Number,CE cases — Per cent of total method,CG cases — Number,CG cases — Per cent of total method,CP cases — Number,CP cases — Per cent of total method
Total number of cases closed,32750,100.0,22785,100.0,8302,100.0,938,100.0,278,100.0,143,100.0,31,100.0,193,100.0
Agreement of the parties,9755,29.8,7487,33.7,1405,16.9,557,59.3,2,0.7,17,11.8,16,51.6,69,35.7
Informal settlement,9547,29.2,7614,33.4,1367,16.3,467,49.7,2,0.7,16,11.1,14,45.1,58,30.0
Before issuance of complaint,6999,21.4,5609,24.7,1015,12.1,268,28.5,0,,5,3.4,14,45.1,58,30.0
"After issuance of complaint, before opening of hearing",2505,7.6,1937,8.5,347,4.4,199,21.2,2,0.7,11,7.6,2,6.4,7,3.6
After hearing opened and issuance of administrative law judge's decision,43,0.1,30,0.1,5,0.1,0,,0,,0,,0,,1,0.5
Formal settlement,208,0.6,75,0.3,38,0.4,90,9.5,0,,1,0.7,0,,4,2.0
Before issuance of complaint,142,0.4,54,0.2,24,0.3,82,8.7,0,,0,,0,,0,
Stipulated decision — Before hearing opened — Consent decree,8,0.1,0,,4,0.1,0,,0,,0,,0,,0,
After hearing opened — Stipulated decision,66,0.2,21,0.1,10,0.1,0,,0,,1,0.7,0,,4,2.0
After hearing opened — Consent decree,9,0.1,0,,9,0.1,0,,0,,0,,0,,0,
Compliance with,785,2.4,660,2.9,28,0.3,92,1.0,0,,0,,0,,5,3.2
