Participating unions,Total elections,Per cent of total valid votes,Elections won by union — Total,Elections won by union — AFL-CIO,Elections won by union — Teamsters,Elections won by union — Other national,Elections won by union — Other local,Elections won by union — No union,Eligible to vote — Total
B. Elections in RC cases — AFL-CIO 1-union,1704,49.4,849,849,,,,855,112289
B. Elections in RC cases — Teamsters 1-union,472,22.0,85,,85,,,387,31470
B. Elections in RC cases — Other national unions 1-union,224,77.8,67,,,67,,157,
B. Elections in RC cases — Other local unions 1-union,367,57.5,75,,,,75,292,
B. Elections in RC cases — 1-union TOTAL,2705,48.4,1354,,,,,1691,167025
B. Elections in RC cases — 2-union TOTAL,128,85.5,118,,,,,20,
B. Elections in RC cases — 3-union TOTAL,6,100.0,6,,,,,0,
Total RC elections,2927,,,,,,,,
C. Elections in RM cases — AFL-CIO 1-union,44,13.6,6,6,,,,38,1277
C. Elections in RM cases — Teamsters 1-union,17,29.4,3,,3,,,14,185
C. Elections in RM cases — 1-union TOTAL,63,20.6,13,,,,,50,
