Participating unions,Total elections,Per cent of total valid votes,Elections won by union — Total,Elections won by union — AFL-CIO,Elections won by union — Teamsters,Elections won by union — Other national,Elections won by union — Other local,Elections won by union — No union
C. RM cases (cont'd) — 2-union elections TOTAL,6,28.8,0,,,,,6
C. RM cases — Total RM elections,69,24.2,16,,,,,53
D. Elections in RD cases — AFL-CIO 1-union,388,33.0,123,123,,,,265
D. Elections in RD cases — Teamsters 1-union,102,21.4,7,,7,,,95
D. Elections in RD cases — Other national unions 1-union,19,25.9,0,,,0,,19
D. Elections in RD cases — Other local unions 1-union,65,35.4,3,,,,3,62
D. Elections in RD cases — 1-union TOTAL,594,28.8,133,,,,,461
D. Elections in RD cases — 2-union TOTAL,5,80.0,4,,,,,1
D. Elections in RD cases — 3-or-more-union TOTAL,1,100.0,1,,,,,0
Total RD elections,606,29.9,181,,,,,425
