Status,Total,Identification of filing party — AFL-CIO unions,Identification of filing party — Other national unions,Identification of filing party — Other local unions,Identification of filing party — Individuals,Identification of filing party — Employers
"All cases — Pending October 1, 1992",27055,14371,1129,1157,8549,1849
All cases — Received fiscal 1993,40322,20411,1147,1398,14719,2647
All cases — On docket fiscal 1993,67377,34782,2276,2555,23268,4496
All cases — Closed fiscal 1993,39987,20037,1146,1345,14737,2722
"All cases — Pending September 30, 1993",27390,14745,1130,1210,8531,1774
"Unfair labor practice cases — Pending October 1, 1992",23610,11945,1029,978,8038,1620
Unfair labor practice cases — Received fiscal 1993,33744,15901,948,1019,13557,2319
Unfair labor practice cases — On docket fiscal 1993,57354,27846,1977,1997,21595,3939
Unfair labor practice cases — Closed fiscal 1993,32855,15017,948,970,13534,2386
"Unfair labor practice cases — Pending September 30, 1993",24499,12829,1029,1027,8061,1553
"Representation cases — Pending October 1, 1992",3211,2352,94,162,456,147
Representation cases — Received fiscal 1993,6140,4337,181,335,1056,231
Representation cases — On docket fiscal 1993,9351,6689,275,497,1512,378
Representation cases — Closed fiscal 1993,6707,4848,179,332,1095,253
"Representation cases — Pending September 30, 1993",2644,1841,96,165,417,125
"Union-shop deauthorization cases — Pending October 1, 1992",55,,,,55,
Union-shop deauthorization cases — Received fiscal 1993,106,,,,106,
Union-shop deauthorization cases — On docket fiscal 1993,161,,,,161,
Union-shop deauthorization cases — Closed fiscal 1993,108,,,,108,
"Union-shop deauthorization cases — Pending September 30, 1993",53,,,,53,
"Amendment of certification cases — Pending October 1, 1992",12,5,1,3,0,3
Amendment of certification cases — Received fiscal 1993,19,7,5,2,0,5
Amendment of certification cases — On docket fiscal 1993,31,12,6,5,0,8
Amendment of certification cases — Closed fiscal 1993,22,8,5,2,0,7
"Amendment of certification cases — Pending September 30, 1993",9,4,1,3,0,1
"Unit clarification cases — Pending October 1, 1992",167,69,5,14,0,79
Unit clarification cases — Received fiscal 1993,313,166,13,42,0,92
Unit clarification cases — On docket fiscal 1993,480,235,18,56,0,171
Unit clarification cases — Closed fiscal 1993,295,164,14,41,0,76
"Unit clarification cases — Pending September 30, 1993",185,71,4,15,0,95
