Division and State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-deauthorization cases (UD),Amendment-of-certification cases (AC),Unit-clarification cases (UC)
Washington,977,788,571,207,4,2,1,0,3,173,118,5,50,4,0,12
Oregon,463,338,233,97,3,3,0,0,2,105,77,8,20,5,0,5
California,4627,3855,2748,966,82,21,10,19,9,660,528,39,93,27,1,44
Hawaii,131,99,72,25,1,1,0,0,0,11,8,0,3,0,0,0
Alaska,345,290,199,74,7,5,1,0,4,51,42,1,8,0,0,4
Guam,12,8,6,2,0,0,0,0,0,2,2,0,0,0,0,0
Pacific Division — subtotal,6555,5368,3813,1369,98,32,18,4,30,1092,818,60,214,13,1,61
Puerto Rico,307,218,188,30,0,0,0,0,0,88,65,0,23,0,0,1
Virgin Islands,23,12,10,2,0,0,0,0,0,9,8,0,1,0,0,1
Outlying areas — subtotal,330,230,198,32,0,0,0,0,0,89,73,0,24,0,0,2
"Total, all States and areas",40322,33744,24500,8679,750,211,53,38,118,6140,4853,231,1056,106,19,313
