row_label,Category,Number
Representation decisions,Representation decisions,206
After transfer by Regional Directors for initial decision,After transfer by Regional Directors for initial decision,9
After review of Regional Director decisions,After review of Regional Director decisions,36
On objections and/or challenges,On objections and/or challenges,161
Other decisions,Other decisions,5
Clarification of bargaining unit,Clarification of bargaining unit,5
Amendment to certification,Amendment to certification,0
Union-deauthorization,Union-deauthorization,0
Noncontested decisions,Noncontested decisions,447
Unfair labor practice,Unfair labor practice,237
Representation,Representation,209
Other,Other,1
