row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO .,3151,43.7,1377,1377,,,1774,182023,67831,67831,,,114192
Other national unions,113,58.4,66,,66,,47,7321,3184,,3184,,4137
Other local unions,173,61.3,106,,,106,67,8460,4273,,,4273,4187
1-union elections,3437,45.1,1549,1377,66,106,1888,197804,75288,67831,3184,4273,122516
AFL-CIO v. AFL-CIO,52,73.1,38,38,_,,14,4042,2672,2672,,,1370
AFL-CIO v. National,11,100.0,11,4,7,,0,948,948,170,778,,o
National v. Local,50,94.0,47,27,,20,3 0,5108,"4,420 390",3109,,1311,688
AFL-CIO v. Local .,2,100.0,2,,2,0,,390,,,390,0,0
National v. National,3,100.0,3,,3,,0,83,83,,83,,0
Local v. Local.,9,88.9,8,,_,8,1,1359,930,,,930,429
2-union elections,127,85.8,109,69,12,28,18,11930,9443,5951,1251,2241,2487
AFL-CIO v. AFL-CIO v. AFL-CIO,3,66.7,2,2,,,1,367,139,139 191,o,,228
AFL-CIO V. AFL-CIO v. National AFL-CIO v. AFL-CIO v. Local .,1 3,100.0 100.0,1 3,1 1,0,2,o o,191 264,191 264,89,,- 175,0
AFL-CIO v Naunal v. Local,1,100.0,1,1,0,0,o,278,278,278,o,0,0
3 (or wore)-union elections,8,87.5,7,5,0,2,1,1100,872,697,0,175,228
Total representation elections,3572,46.6,1665,1451,78,136,1907,210834,85603,74479,4435,6.689,125231
