Participating unions,Total valid votes cast,Valid votes cast in elections won / Total,Valid votes cast in elections won / Votes for unions / AFL-CIO,Valid votes cast in elections won / Votes for unions / Other national unions,Valid votes cast in elections won / Votes for unions / Other local unions,Valid votes cast in elections won / Votes for no union,Valid votes cast in elections lost / Total,Valid votes cast in elections lost / Votes for unions / AFL-CIO,Valid votes cast in elections lost / Votes for unions / Other national unions,Valid votes cast in elections lost / Votes for unions / Other local unions,Valid votes cast in elections lost / Votes for no union
B. Elections in RC cases,,,,,,,,,,,
AFL-CIO,141884,33714,33714,,,16368,30416,30416,,,61386
Other national unions,5442,1270,,1270,,647,1233,,1233,,2292
Other local unions,6557,2408,,,2408,767,1042,,,1042,2210
1-union elections,153853,37392,33714,1270,2408,17782,32691,30416,1233,1042,65888
2-union elections,9283,6462,3803,796,1863,715,693,568,0,125,1413
3 (or more)-union elections,908,684,432,129,123,118,103,103,,0,105
Total RC elections,164044,44538,37949,2195,4394,18515,33487,31087,1233,1167,67506
C. Elections in RM cases,,,,,,,,,,,
AFL-CIO (RM),1842,271,271,,,205,373,373,,,947
Other local unions (RM),425,26,,,26,154,0,,,,
1-union elections (RM),2293,614,271,0,26,359,373,373,,,947
Total RM elections,2293,614,317,0,26,359,373,373,,,947
