Type of proceeding,Number of proceedings Fiscal Year 1994 / Total,Number of proceedings Fiscal Year 1994 / Vs. unions only,Number of proceedings Fiscal Year 1994 / Vs. employers only,Number of proceedings Fiscal Year 1994 / Vs. unions and employers,Number of proceedings Fiscal Year 1994 / Board sustained,Percentages Fiscal Year 1994 / Vs. unions only,Percentages Fiscal Year 1994 / Vs. employers only,Percentages Fiscal Year 1994 / Vs. unions and employers,Percentages Fiscal Year 1994 / Board sustained,"July 5, 1935-Sept. 30, 1994 / Number","July 5, 1935-Sept. 30, 1994 / Percent"
Proceedings decided by U.S. courts of appeals,162,14,143,5,,,,,,10059,100.0
On petitions for review and/or enforcement,142,128,11,3,,,,,,7223,63.9
Board orders affirmed in full,89,79,8,2,,61.7,72.7,,,5635,55.9
Board orders affirmed with modification,19,14,1,0,,10.9,9.1,,,559,5.0
Board orders partially affirmed and partially remanded,6,6,0,0,,8.6,,,,217,2.0
Board orders set aside,21,18,2,1,,14.1,18.2,,,1666,14.7
On petitions for contempt,20,17,3,0,,,,,,,
"Compliance after filing of petition, before court order",5,3,2,0,,17.6,,,,,
Court orders holding respondents in contempt,3,3,1,0,,64.7,33.3,,,,
Contempt petitions denied,1,0,0,1,,11.8,66.7,,,,
Contempt petitions withdrawn without compliance,1,1,0,0,,5.9,,,,,
Proceedings decided by U.S. Supreme Court,2,2,0,0,,100.0,,,,253,100.0
