Division and State,All cases,Unfair labor practice cases / AII C,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Representation cases / AII R,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Washington,826,631,469,153,5,1,1,2,184,133,8,43,3,3,5
Oregon,453,347,230,105,7,4,0,1,90,63,6,19,3,1,12
California,4538,3732,2697,950,47,27,4,7,583,459,13,111,13,20,32
Alaska,113,80,55,21,2,1,0,1,29,25,1,3,1,0,3
Hawaii,199,145,127,16,1,0,0,1,47,40,5,1,0,1,6
Guam,41,35,35,0,0,0,0,0,6,3,0,1,0,0,0
Pacific,6170,5170,3733,1285,86,33,4,25,916,691,47,178,20,6,58
Puerto Rico,346,269,152,112,1,0,0,4,75,5,8,2,0,0,2
Virgin Islands,32,22,19,3,0,0,0,0,8,0,0,0,0,0,0
Outlying areas,378,291,171,115,1,0,0,4,83,77,2,4,0,0,4
"Total, all States and areas",39927,34040,26344,6989,463,204,20,22,98,5458,4315,173,970,114,31
