row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won / Total,Valid votes cast in elections won / Votes for unions / AFL-CIO unions,Valid votes cast in elections won / Votes for unions / Other na- tional unions,Valid votes cast in elections won / Votes for unions / Other local unions,Valid votes cast in elections won / Votes for no union,Valid votes cast in elections lost / Total,Valid votes cast in elections lost / Votes for unions / AFL-CIO unions,Valid votes cast in elections lost / Votes for unions / Other na- tional unions,Valid votes cast in elections lost / Votes for no union
Local v. Local,431,346,,,346,85,0,,,0,
2-union elections,7278,4633,2543,505,1583,425,855,768,14,73,1265
AFL-CIO v. AFL-CIO v. Local,204,67,,,137,0,0,0,0,0,
3 (or more) union elections,204,204,67,,137,0,0,0,0,0,
Total RC elections,169214,44557,38109,1879,4569,20708,3479,31754,975,1830,69270
C. Elections in RM cases,,,,,,,,,,,
AFL-CIO,784,113,113,,,33,115,115,,223,
Other local unions,27,5,,,5,4,1,,1,17,
1-union elections,811,118,113,,5,37,116,115,,1,540
AFL-CIO v. AFL-CIO,140,130,130,,,10,0,0,0,0,0
2-union elections,140,130,130,,,10,0,0,0,0,0
Total RM elections,951,248,243,,5,47,116,115,,1,540
D. Elections in RD cases,,,,,,,,,,,
AFL-CIO,16916,4917,4917,,,2469,3067,3067,,,6463
Other national unions,645,,,96,,92,156,,156,,295
Other local unions,1132,426,,,426,243,101,,,101,374
1-union elections,18693,5439,4917,96,426,2798,3324,3067,156,101,7132
AFL-CIO v. AFL-CIO,2,0,0,,,0,0,0,0,0,0
AFL-CIO v. Local,91,48,48,,,0,0,0,0,0,43
