Division and State,Total elec- tions,Number of elections in which representation rights were won by employees / Total,Number of elections in which representation rights were won by employees / AFL- CIO unions,Number of elections in which representation rights were won by employees / Other na- tional unions,Number of elections in which representation rights were won by employees / Other local unions,Number of elections in which no rep- resenta- tion was chosen,Number of em- ployees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL- CIO unions,Valid votes cast for unions / Other na- tional unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employ- ees in no rep- resenta- tion
Mountain,159,75,69,2,4,84,10744,9458,4609,4416,114,79,4849,5593
Washington,131,71,66,2,3,60,9309,8090,2999,2742,81,76,2664,3825
Oregon,59,27,24,0,3,32,2131,1887,860,762,0,98,1027,692
California,328,162,153,2,7,166,17843,15355,7030,6336,260,397,8200,7283
Alaska,10,14,14,0,0,2,841,655,311,311,0,0,242,509
Hawaii,47,26,20,2,4,21,1946,1660,697,541,70,86,963,1252
Pacific,587,302,279,6,17,285,32292,27840,13015,11897,381,737,14814,13561
Puerto Rico,48,31,10,0,21,17,3505,2919,1450,300,0,695,1469,1845
Virgin Islands,8,6,6,0,0,2,301,234,160,150,0,0,74,223
Outlying Areas,56,37,16,0,21,19,3806,3153,1610,920,0,695,1543,2068
"Total, all States and areas",3209,1611,1420,49,142,1788,215137,188501,88311,78233,3106,6952,100640,86678
