Division and State,Total elec- tions,Number of elections at which representation rights were won by unions / Total,Number of elections at which representation rights were won by unions / AFL- CIO unions,Number of elections at which representation rights were won by unions / Other na- tional unions,Number of elections at which representation rights were won by unions / Other local unions,Number of elec- tions in which no rep- resen- tative was chosen,Number of em- ployees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL- CIO unions,Valid votes cast for unions / Other na- tional unions,Valid votes cast for unions / Other local unions,Total votes for no union,Total eligible employ- ees in no rep- resenta- tion
Mountain,135,68,62,3,3,67,8860,8017,3872,3681,114,77,4145,4494
Washington,115,60,55,2,3,55,4929,4477,2408,2159,21,232,2022,2899
Oregon,50,22,20,0,3,25,1775,788,700,651,0,87,864,391
California,284,148,140,2,6,136,16016,13608,6030,5490,200,300,7567,6201
Alaska,17,13,13,0,0,4,597,517,291,291,0,0,226,342
Hawaii,34,24,20,1,3,10,934,744,100,150,100,50,532,732
Pacific,500,273,251,6,16,230,28521,24618,11407,10357,381,669,13211,11170
Puerto Rico,48,31,10,0,21,17,3575,2919,1450,755,0,695,1469,1845
Virgin Islands,7,5,5,0,0,2,232,194,130,130,0,0,64,154
Outlying Areas,55,36,15,0,21,19,3807,3113,1580,885,0,695,1533,1999
"Total, all States and area",2911,1468,1284,48,136,1443,192934,169386,79500,70221,2856,6425,90665,76720
