row_label,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
RC cases,,,,,,
"Pending October 1, 1995",1743,1498,76,169,0,
Received fiscal 1996,4153,3665,139,349,0,
On docket fiscal 1996,5896,5163,215,518,0,
Closed fiscal 1996,4141,3653,147,341,0,
"Pending September 30, 1996",1755,1510,68,177,0,
RM cases,,,,,,
"Pending October 1, 1995",94,,,,,94
Received fiscal 1996,155,,,,,155
On docket fiscal 1996,249,,,,,249
Closed fiscal 1996,155,,,,,155
"Pending September 30, 1996",94,,,,,94
RD cases,,,,,,
"Pending October 1, 1995",398,2,0,2,394,
Received fiscal 1996,947,0,0,0,947,
On docket fiscal 1996,1345,2,0,2,1341,
Closed fiscal 1996,984,0,0,0,984,
"Pending September 30, 1996",361,2,0,2,357,
