Action taken,Total all,Employer / Employer total,Union / Union total
Declined,555,555,
Employees placed on preferential hiring list,671,671,0
Hiring hall rights restored,21,,21
Objections to employment withdrawn,,,
Employees receiving backpay,,,
From either employer or union,20931,20673,258
From both employer and union,34,,
"Employees reimbursed for fees, dues, and fines",,,
From either employer or union,1463,1047,416
From both employer and union,,,
"C. By amounts of monetary recovery, total",80366955,79329732,1037223
"Backpay (includes all monetary payments except fees, dues, and fines)",79601595,78840269,761326
"Reimbursement fees, dues, and fines",765360,,275897
