Method and stage of disposition,All C cases / Number,All C cases / Percent of total closed,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CG cases / Number,CG cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Administrative law judge's decision,12,0.0,1,0.5,12,0,,,,,0,,0,,0,
Board decision,519,1.6,448,1.7,66,0.9,1,1.3,3,1.7,0,,0,,1,0.9
Adopting administrative law judge's decision (no exceptions filed),307,0.9,254,1.0,46,0.6,4,0.6,2,1.1,,,,,1,0.9
Contested,212,0.7,182,0.7,20,0.2,4,0.6,1,0.5,5,10.4,,,,
Circuit court of appeals decree,270,0.8,33.7,240,0.9,,,,,,,,,,,
Supreme Court action,0,,0,,,,,,,,,,,,,
Withdrawal,10043,31.1,100.0,7879,31.9,1920,28.3,175,29.2,,,16,33.3,7,29.1,46
Before issuance of complaint,9799,30.3,7705,31.1,1802,27.9,169,28.2,,,16,33.3,7,29.1,44,
"After issuance of complaint, before opening of hearing",234,0.7,199,0.8,27,,,,,,,,,,2,1.9
"After hearing opened, before administrative law judge's decision",10,0.0,,,,,,,,,,,,,,
"After administrative law judge's decision, before Board decision",0,,,,,,,,,,,,,,,
After Board or court decision,0,,,,,,,,,,,,,,,
Dismissal,9719,30.1,100.0,5888,3583,52.9,98,16.3,2,1.1,22,45.8,,,12,11.8
Before issuance of complaint,9456,29.2,97.3,5799,23.5,3557,52.2,95,15.9,(2),9,18.7,4,16.6,12,11.8
"After issuance of complaint, before opening of hearing",116,0.4,1.2,78,0.3,33,0.4,,,,,,,,,
"After hearing opened, before administrative law judge's decision",7,0.0,0.1,7,,,,,,,,,,,,
By administrative law judge's decision,137,0.4,1.4,124,0.5,13,0.2,3,0.5,,,,,,,
By Board decision,,,,,,,,,,,,,,,,
Adopting administrative law judge's decision (no exceptions filed),30,0.1,0.3,28,,,,,,,,,,,,
Contested,107,0.3,1.1,96,0.4,,,,,,,,,,,
