Participating unions,Total valid votes cast,Valid votes cast in elections won / Total,Votes for unions / AFL-CIO unions,Other national unions,Other local unions,Valid votes cast in elections lost / Total,Votes for unions / AFL-CIO unions,Other national or local unions,Votes for no union
AFL-CIO v. Local,5784,3504,1828,,1786,149,568,401,1453
National v. Local,728,480,,189,291,19,98,40,131
Local v. Local,542,512,,,512,30,0,0,0
2-union elections,12417,6842,3636,,2589,371,1725,1460,3479
AFL-CIO v. AFL-CIO v. AFL-CIO,79,79,77,,,2,0,0,0
AFL-CIO v. AFL-CIO v. Local,132,132,83,43,6,0,0,0,0
3 (or more)-union elections,211,211,162,43,6,0,0,0,0
Total RC elections,187290,53302,43642,3888,5772,23884,36866,33867,73298
C. Elections in RM cases,,,,,,,,,
AFL-CIO,1510,627,627,,,347,144,,392
Other national unions,37,23,,,,14,0,0,0
Other local unions,23,0,,,,0,4,4,19
1-union elections,1570,650,627,23,0,361,148,4,411
AFL-CIO v. AFL-CIO,139,134,134,,,1,0,0,4
AFL-CIO v. Local,9,0,,,,0,0,0,9
2-union elections,148,134,134,0,0,1,0,0,9
Total RM elections,1718,784,761,23,0,362,152,4,420
D. Elections in RD cases,,,,,,,,,
AFL-CIO,14094,4318,4318,,,2356,2401,,5019
Other national unions,455,129,,129,,70,,,179
Other local unions,1024,208,,,208,92,183,183,541
1-union elections,15573,4655,4318,129,208,2519,2660,183,5739
