Division and State,Total elec- tions,Number of elections in which representation rights were won by unions / Total,AFL-CIO unions,Other national unions,Other local unions,Number of elec- tions in which no rep- resenta- tive was chosen,Number of em- ployees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,AFL-CIO unions,Other national unions,Other local unions,Total valid votes for no union,Eligible employees in units choos- ing rep- resenta- tion
Mountain,152,74,65,5,4,,8571,7332,3358,2989,329,40,3974,3536
Washington,127,86,81,1,4,,5939,5059,3660,3223,5,539,2270,4868
Oregon,47,29,16,1,12,,2154,1820,1033,752,125,126,817,1274
California,356,174,164,3,7,182,32313,26544,12077,11133,112,832,13667,15298
Alaska,34,15,14,1,0,19,1595,1289,457,437,20,0,832,744
Hawaii,29,2,1,0,1,27,4966,4396,1587,,18,1,2829,48
Pacific,593,306,284,8,14,287,45512,36007,18246,15855,1094,1297,17821,22548
Puerto Rico,57,25,8,13,4,32,3562,2946,1248,419,0,829,1698,800
Virgin Islands,9,6,5,1,0,3,388,325,179,171,8,0,146,257
Outlying areas,66,33,13,14,4,35,3950,3271,1427,596,8,829,1844,1057
"Total, all States and areas",3480,1677,1469,66,142,1803,256016,205175,98708,85451,5054,8203,106467,101646
