row_label,Action taken,Total all,Employer / Total,Employer / Pursuant to Agreement of parties: Informal settlement,Employer / Pursuant to Agreement of parties: Formal settlement,Employer / Recommendation of administrative law judge,Employer / Order of- Board,Employer / Order of- Court,Union / Total,Union / Pursuant to Agreement of parties: Informal settlement,Union / Pursuant to Agreement of parties: Formal settlement,Union / Recommendation of administrative law judge,Union / Order of- Board,Union / Order of- Court
A. By number of cases involved,A. By number of cases involved,10380,0,0,0,0,0,0,0,0,0,0,0,0
Notice posted,Notice posted,2840,2495,1914,144,11,238,188,345,304,8,3,25,5
Employer-dominated union Disestablished,Employer-dominated union Disestablished,27,27,12,11,0,4,0,0,0,0,0,0,0
Employees offered reinstatement,Employees offered reinstatement,17,17,13,0,0,4,0,0,0,0,0,0,0
Employees placed on preferential hiring list,Employees placed on preferential hiring list,856,855,638,114,3,55,47,1,1,0,0,0,0
Hiring hall rights restored,Hiring hall rights restored,380,339,343,131,1,41,23,41,29,0,0,2,0
Objections to employees withdrawn,Objections to employees withdrawn,11,0,0,0,0,0,0,11,6,0,0,5,0
Picketing ended,Picketing ended,214,299,153,46,0,4,6,5,3,1,0,1,0
Picketing ended (sub),Picketing ended (sub),112,0,0,0,0,0,0,112,110,2,0,0,0
Work stoppage ended,Work stoppage ended,66,0,0,0,0,0,0,66,66,0,0,0,0
Collective bargaining begun,Collective bargaining begun,2602,2403,2097,95,5,97,109,199,194,2,0,3,0
Backpay distributed,Backpay distributed,2473,2379,1928,162,9,156,124,94,75,6,1,8,4
"Reimbursement of fees, dues, and fines","Reimbursement of fees, dues, and fines",72,24,20,2,0,0,2,48,43,3,0,2,0
Other conditions of employment improved,Other conditions of employment improved,0,0,0,0,0,0,0,0,0,0,0,0,0
Other remedies,Other remedies,0,0,0,0,0,0,0,0,0,0,0,0,0
B. By number of employees affected,B. By number of employees affected,0,0,0,0,0,0,0,0,0,0,0,0,0
"Employees offered reinstatement, total","Employees offered reinstatement, total",2043,2041,1340,472,12,83,134,2,2,0,0,0,0
Accepted,Accepted,1420,1418,1054,224,9,48,83,2,2,0,0,0,0
