row_label,col_1,Total / Number,Total / Percent by type,By employer / Number,By employer / Percent by type,By union / Number,By union / Percent by type,By both parties / Number,By both parties / Percent by type
All representation elections,All representation elections,210,100.0,77,36.7,126,60.0,7,3.3
By type of case:,By type of case:,,,,,,,,
RC cases,RC cases,187,100.0,69,36.9,112,59.9,6,3.2
RM cases,RM cases,0,0.0,0,0.0,0,0.0,0,0.0
RD cases,RD cases,23,100.0,8,34.8,14,60.9,1,4.3
By type of election:,By type of election:,,,,,,,,
Consent elections,Consent elections,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections,Stipulated elections,176,100.0,64,36.4,106,60.2,6,3.4
Expedited elections,Expedited elections,0,0.,0,0.0,0,0.0,0,0.0
Regional Director-directed elections,Regional Director-directed elections,32,100.0,11,34.4,20,62.5,1,3.1
Board-directed elections,Board-directed elections,2,100.0,2,100.0,0,0.0,0,0.0
