row_label,Total,Identification of filing party / AFL-CIO Unions,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
All Cases,,,,,,
"Pending October 1, 1999",27412,17546,673,812,7483,898
Received fiscal 2000,35249,20033,956,890,11513,1857
On docket fiscal 2000,62661,37579,1629,1702,18996,2755
Closed fiscal 2000,35034,20250,839,810,11412,1723
"Pending September 30, 2000",27627,17329,790,892,7584,1032
Unfair labor practice cases,,,,,,
"Pending October 1, 1999",25543,16169,622,743,7195,814
Received fiscal 2000,29188,15670,741,644,10493,1640
On docket fiscal 2000,54731,31839,1363,1387,17688,2454
Closed fiscal 2000,29241,15919,646,598,10528,1550
"Pending September 30, 2000",25490,15920,717,789,7160,904
Representation cases,,,,,,
"Pending October 1, 1999",1701,1282,45,59,254,61
Received fiscal 2000,5671,4182,176,226,910,177
On docket fiscal 2000,7372,5464,221,285,1164,238
Closed fiscal 2000,5442,4154,175,193,781,139
"Pending September 30, 2000",1930,1310,46,92,383,99
Union-shop deauthorization cases,,,,,,
"Pending October 1, 1999",34,,,,34,
Received fiscal 2000,103,,,,103,
On docket fiscal 2000,137,,,,137,
Closed fiscal 2000,98,,,,98,
"Pending September 30, 2000",39,,,,39,
Amendment of certification cases,,,,,,
"Pending October 1, 1999",7,7,0,0,0,0
Received fiscal 2000,37,12,22,2,0,1
On docket fiscal 2000,44,19,22,2,0,1
Closed fiscal 2000,15,12,2,0,0,1
"Pending September 30, 2000",29,7,22,0,0,0
Unit clarification cases,,,,,,
"Pending October 1, 1999",127,88,6,10,0,23
Received fiscal 2000,250,169,17,18,7,39
On docket fiscal 2000,377,257,23,28,7,62
Closed fiscal 2000,238,165,18,17,5,33
"Pending September 30, 2000",139,92,5,11,2,29
