row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Rail Transportation..................................................,41,29,18,5,6,0,0,0,0,12,11,0,1,0,0,0
Water Transportation..............................................,173,156,73,70,9,1,0,0,3,17,15,0,2,0,0,0
Truck Transportation..............................................,1339,1096,783,267,36,0,7,0,3,237,192,4,41,2,0,4
Transit and Ground Passenger Transportation........,754,577,416,149,12,0,0,0,0,169,141,1,27,4,0,4
Pipeline Transportation..........................................,25,20,15,4,1,0,0,0,0,5,4,0,1,0,0,0
Scenic and Sightseeing Transportation..................,23,20,18,2,0,0,0,0,0,3,3,0,0,0,0,0
Support Activities for Transportation......................,275,223,150,69,3,0,0,0,1,52,48,0,4,0,0,0
48-Transportation..............................................,2704,2170,1503,584,68,1,7,0,7,520,437,5,78,6,0,8
Postal Service..........................................................,2387,2377,1711,666,0,0,0,0,0,10,10,0,0,0,0,0
Couriers and Messengers........................................,245,218,154,58,4,1,0,0,1,27,24,1,2,0,0,0
Warehousing and Storage Facilities........................,427,314,249,55,7,2,0,0,1,108,97,3,8,2,0,3
48-Transportation..............................................,3059,2909,2114,779,11,3,0,0,2,145,131,4,10,2,0,3
Publishing Industries..............................................,392,323,272,51,0,0,0,0,0,56,41,0,15,0,0,13
Motion Picture and Sound Recording Industries....,59,54,37,16,0,0,0,0,1,4,4,0,0,1,0,0
Broadcasting and Telecommunications..................,1120,1000,780,192,20,5,1,0,2,101,74,3,24,4,0,15
Information Services and Data Processing Services....................................................................,114,98,82,16,0,0,0,0,0,15,13,0,2,1,0,0
Information........................................................,1685,1475,1171,275,20,5,1,0,3,176,132,3,41,6,0,28
Monetary Authorities - Central Bank......................,21,18,16,1,1,0,0,0,0,3,3,0,0,0,0,0
Credit Intermediation and Related Activities..........,53,46,43,2,1,0,0,0,0,6,6,0,0,0,0,1
"Securities, Commodity Contracts and Other Intermediation and Related Activities....................",6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Insurance Carriers and Related Activities..............,46,37,25,12,0,0,0,0,0,8,6,0,2,0,0,1
"Funds, Trusts and Other Financial Vehicles (U.S. Only)........................................................................",27,22,15,7,0,0,0,0,0,2,1,0,1,0,0,3
Finance and Insurance........................................,153,129,105,22,2,0,0,0,0,19,16,0,3,0,0,5
Rental and Leasing Services....................................,215,210 154,118,21,4 8,1 3,0 0,0,4,61,45,4 2,3 14,0 0,0,0
Real Estate..............................................................,257,,160,45,,,,0,0,44,37,,,,0,3
Owners and Lessors of Other Non-Financial Assets......................................................................,7,6,4,1,1,0,0,0,0,1,1,0,0,0,0,0
