row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Total number of cases closed...............................,"*28,909",100.0,,22032,100.0,5996,100.0,539,100.0,171,100.0,27,100.0,16,100.0,128,100.0
Agreement of the parties......................................,10187,35.2,100.0,8875,40.3,1016,16.9,220,40.8,14,8.2,2,7.4,11,68.8,49,38.3
Informal settlement.....................................,10151,35.1,99.6,8841,40.1,1014,16.9,220,40.8,14,8.2,2,7.4,11,68.8,49,38.3
Before issuance of complaint...............,7805,27.0,76.6,6736,30.6,827,13.8,182,33.8,14,8.2,1,3.7,8,50.0,37,28.9
"After issuance of complaint, before opening of hearing..........................",2145,7.4,21.1,1911,8.7,181,3.0,37,6.9,0,0.0,1,3.7,3,18.8,12,9.4
"After hearing opened, before issuance of administrative law judge's decision...........................................",201,0.7,2.0,194,0.9,6,0.1,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0
Formal settlement........................................,36,0.1,0.4,34,0.2,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Before opening of hearing...................,16,0.1,0.2,14,0.1,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision........................,4,0.0,0.0,3,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree..............................,12,0.0,0.1,11,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
After hearing opened...........................,20,0.1,0.2,20,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision........................,14,0.0,0.1,14,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree..............................,6,0.0,0.1,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Compliance with...................................................,613,2.1,100.0,549,2.5,55,0.9,5,0.9,2,1.2,0,0.0,0,0.0,2,1.6
Administrative law judge's decision..........,8,0.0,1.3,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Board decision............................................,340,1.2,55.5,287,1.3,47,0.8,3,0.6,2,1.2,0,0.0,0,0.0,1,0.8
Adopting administrative law judge's decision (no exceptions filed)........,156,0.5,25.4,138,0.6,17,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.8
Contested............................................,184,0.6,30.0,149,0.7,30,0.5,3,0.6,2,1.2,0,0.0,0,0.0,0,0.0
Circuit court of appeals decree....................,260,0.9,42.4,249,1.1,8,0.1,2,0.4,0,0.0,0,0.0,0,0.0,1,0.8
Supreme Court action..................................,5,0.0,0.8,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Withdrawal...........................................................,8701,30.1,100.0,6663,30.2,1741,29.0,218,40.4,16,9.4,13,48.1,3,18.8,47,36.7
Before issuance of complaint......................,8472,29.3,97.4,6453,29.3,1724,28.8,217,40.3,16,9.4,13,48.1,3,18.8,46,35.9
