row_label,Fiscal Year 2000 / Number of proceedings / Total,Fiscal Year 2000 / Number of proceedings / Vs. employers only,Fiscal Year 2000 / Number of proceedings / Vs. unions only,Fiscal Year 2000 / Number of proceedings / Vs. both employers and unions,Fiscal Year 2000 / Number of proceedings / Board dismissal,Fiscal Year 2000 / Percentages / Vs. employers only,Fiscal Year 2000 / Percentages / Vs. unions only,Fiscal Year 2000 / Percentages / Vs. both employers and unions,Fiscal Year 2000 / Percentages / Board dismissal,Fiscal Year 2000 / Percentages,"July 5, 1937 Sept. 30, 2000 / Number","July 5, 1937 Sept. 30, 2000 / Percent"
Proceedings decided by U.S. courts of appeals,157,147,10,0,,,,,,,11467,100.0
On petitions for review and/or enforcement,99,98,1,0,2,100.0,100.0,,100.0,,7568,66.0
Board orders affirmed in full,73,72,1,0,1,73.5,100.0,,50.0,,7566,66.0
Board orders affirmed with modification,6,6,0,0,0,6.1,0.0,,0.0,,569,5.0
Remanded to Board,7,6,0,0,1,6.1,0.0,,50.0,,255,2.2
Board orders partially affirmed and partially remanded,5,5,0,0,0,6.1,0.0,,0.0,,501,5.0
Board orders set aside,8,8,0,0,0,8.2,0.0,,0.0,,1549,13.5
Orders on contempt,19,18,1,0,0,,,,,,,
Total Court Orders,39,31,8,0,0,,100.0,,,,,
"Compliance after filing of petition, before court order",19,18,1,0,0,,,,,,,
Court orders directing compliance to contempt,7,5,2,0,0,,16.1,25.0,,,,
Court orders denying petition,2,2,0,0,0,,6.5,0.0,,,,
Court orders directing compliance without contempt adjudication,11,7,4,0,0,,22.6,50.0,,,,
Proceedings decided by U.S. Supreme Court,0,0,0,0,0,,,,,,257,100.0
Board orders affirmed in full,0,0,0,0,0,,,,,,155,60.3
Board orders affirmed with modification,0,0,0,0,0,,,,,,18,7.0
Board orders set aside,0,0,0,0,0,,,,,,48,17.5
Remanded to Board,0,0,0,0,0,,,,,,20,7.8
Remanded to court of appeals,0,0,0,0,0,,,,,,16,6.2
Board's request for remand or modification of enforcement order denied,0,0,0,0,0,,,,,,,
Contempt cases remanded to court of appeals,0,0,0,0,0,,,,,,1,0.4
Contempt cases enforced,0,0,0,0,0,,,,,,1,0.4
