row_label,Total proceedings,"Pending in district court Oct. 1, 1999",Filed in district court fiscal year 2000,Total dispositions,Granted,Denied,Settled,Withdrawn,Pending
Under Sec. 10(e) total,0,0,0,0,0,0,0,0,0
Under Sec. 10(j) total,54,7,47,45,20,11,8,6,9
8(a)(1),1,0,1,1,0,0,1,0,0
8(a)(1)(2)(3)(5),1,0,1,1,1,0,0,0,0
8(a)(1)(3),12,1,11,10,4,2,1,3,2
8(a)(1)(3)(4),1,1,0,1,0,1,0,0,0
8(a)(1)(3)(4)(5),2,1,1,2,2,0,0,0,0
8(a)(1)(3)(5),20,2,18,15,5,4,3,3,5
8(a)(1)(4),1,0,1,1,1,0,0,0,0
8(a)(1)(5),16,2,14,14,7,4,3,0,2
Under Sec. 10(l) total,13,3,10,8,5,1,1,1,4
8(b)(4)(B),3,1,2,2,1,1,0,0,1
8(b)(4)(D),1,0,1,1,1,0,0,0,0
8(b)(4)(B) 8(b)(7)(C),1,1,0,0,0,0,0,0,1
8(b)(4)(B)(D)8(b)(7)(A),1,0,1,1,1,0,0,0,0
8(b)(7)(A),2,1,1,1,0,0,0,1,1
8(b)(7)(A)(C),1,0,1,0,0,0,0,0,1
8(b)(7)(B)(C),1,0,1,0,0,0,1,0,1
8(b)(7)(C),3,0,3,3,1,0,0,0,0
