row_label,Total,Identification of filing party — AFL-CIO Unions,Identification of filing party — Other National Unions,Identification of filing party — Other local Unions,Identification of filing party — Individuals,Identification of filing party — Employers
"All Cases — Pending October 1, 2001",25044,15801,733,820,6779,911
All Cases — Received fiscal 2002,35873,20150,918,924,12257,1624
All Cases — On docket fiscal 2002,60917,35951,1651,1744,19036,2535
All Cases — Closed fiscal 2002,36009,20164,910,943,12455,1537
"All Cases — Pending September 30, 2002",24908,15787,741,801,6581,998
"Unfair labor practice cases — Pending October 1, 2001",23180,14592,687,756,6346,799
Unfair labor practice cases — Received fiscal 2002,30177,16115,722,695,11213,1432
Unfair labor practice cases — On docket fiscal 2002,53357,30707,1409,1451,17559,2231
Unfair labor practice cases — Closed fiscal 2002,30398,16230,715,730,11375,1348
"Unfair labor practice cases — Pending September 30, 2002",22959,14477,694,721,6184,883
"Representation cases — Pending October 1, 2001",1672,1118,43,56,374,81
Representation cases — Received fiscal 2002,5301,3861,182,214,896,148
Representation cases — On docket fiscal 2002,6973,4979,225,270,1270,229
Representation cases — Closed fiscal 2002,5227,3757,179,200,942,149
"Representation cases — Pending September 30, 2002",1746,1222,46,70,328,80
"Union-shop deauthorization cases — Pending October 1, 2001",53,,,,53,
Union-shop deauthorization cases — Received fiscal 2002,137,,,,137,
Union-shop deauthorization cases — Closed fiscal 2002,128,,,,128,
Amendment of certification cases — Received fiscal 2002,14,11,0,1,0,2
Amendment of certification cases — Closed fiscal 2002,16,12,1,1,0,2
Unit clarification cases — Received fiscal 2002,244,163,14,14,11,42
Unit clarification cases — Closed fiscal 2002,240,165,15,12,10,38
