row_label,Total all,Employer — Total,Employer — Pursuant to Agreement of parties — Informal settlement,Employer — Pursuant to Agreement of parties — Formal settlement,Employer — Pursuant to Order of administrative law judge,Employer — Pursuant to Order of Board,Employer — Pursuant to Order of Court,Union — Total,Union — Pursuant to Agreement of parties — Informal settlement,Union — Pursuant to Agreement of parties — Formal settlement,Union — Pursuant to Order of administrative law judge,Union — Pursuant to Order of Board,Union — Pursuant to Order of Court
A. By number of cases involved,11487,,,,,,,,,,,,
Notice posted,1886,1628,1306,22,106,95,99,258,218,0,21,12,7
Recognition or other assistance withdrawn,16,16,10,0,0,3,3,,,,,,
Employer-dominated union disestablished,1,1,0,0,0,1,0,,,,,,
Employees offered reinstatement,1257,1257,1089,15,43,59,51,,,,,,
Employees placed on preferential hiring list,52,52,42,0,3,4,3,,,,,,
Hiring hall rights restored,17,,,,,,,17,17,0,0,0,0
Picketing ended,114,,,,,,,114,114,0,0,0,0
Collective bargaining begun,2495,2369,2251,12,24,32,50,126,123,0,2,1,0
Backpay distributed,1862,1816,1605,16,51,68,76,46,38,0,4,3,1
"Reimbursement of fees, dues, and fines",138,74,52,3,0,8,11,64,60,0,3,0,1
