row_label,Method and stage of disposition,Number of cases,Percent of total closed
Total number of cases closed before issuance of complaint,Total,57,100.0
Agreement of the parties — informal settlement (Total),subtotal,29,50.9
Agreement — Before 10(k) notice,,20,35.1
"Agreement — After 10(k) notice, before opening of 10(k) hearing",,8,14.0
"Agreement — After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",,1,1.8
Agreement — After Board decision and determination of dispute,,0,0.0
Compliance with Board decision and determination of dispute,subtotal,4,7.0
Withdrawal (Total),subtotal,14,24.6
Withdrawal — Before 10(k) notice,,12,21.1
"Withdrawal — After 10(k) notice, before opening of 10(k) hearing",,1,1.8
"Withdrawal — After opening of 10(k) hearing, before issuance of Board decision",,0,0.0
Withdrawal — After Board decision and determination of dispute,,1,1.8
Dismissal (Total),subtotal,10,17.5
Dismissal — Before 10(k) notice,,8,14.0
"Dismissal — After 10(k) notice, before opening of 10(k) hearing",,2,3.5
"Dismissal — After opening of 10(k) hearing, before issuance of Board decision",,0,0.0
Dismissal — By Board decision and determination of dispute,,0,0.0
