Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case — Total formal actions taken,Formal actions taken by type of case — CA,Formal actions taken by type of case — CB,Formal actions taken by type of case — CC,Formal actions taken by type of case — CD — Jurisdictional disputes,Formal actions taken by type of case — CD — Unfair labor practices,Formal actions taken by type of case — CE,Formal actions taken by type of case — CG,Formal actions taken by type of case — CP,Formal actions taken by type of case — CA combined with CB,Formal actions taken by type of case — C combined with representation cases,Formal actions taken by type of case — Other C combinations
10(k) notices of hearings issued,35,32,,,,32,,,,,,,
Complaints issued,3329,2067,1767,162,38,,3,1,5,7,20,50,16
Backpay specifications issued,106,63,59,4,0,,0,0,0,0,0,0,0
"Hearings completed, total",868,384,318,23,4,0,1,1,0,0,7,26,4
Initial ULP hearings,798,354,290,21,4,0,1,1,0,0,7,26,4
Backpay hearings,15,9,8,1,0,0,0,0,0,0,0,0,0
Other hearings,55,21,20,1,0,0,0,0,0,0,0,0,0
"Decisions by administrative law judges, total",840,388,331,19,4,0,1,1,0,0,6,22,4
Initial ULP decisions,756,352,298,16,4,0,1,1,0,0,6,22,4
Backpay decisions,16,8,7,1,0,0,0,0,0,0,0,0,0
Supplemental decisions,68,28,26,2,0,0,0,0,0,0,0,0,0
"Decisions issued by the Board, total",924,555,461,38,9,16,1,0,0,1,4,22,3
Upon consent of parties: Initial decisions,70,34,22,5,1,0,0,0,0,0,0,1,2
Upon consent of parties: Supplemental decisions,22,11,9,1,1,0,0,0,0,0,0,0,0
Adopting administrative law judges' decisions (no exceptions filed): Initial ULP decisions,212,119,104,8,1,0,0,0,0,0,1,4,1
Adopting administrative law judges' decisions: Backpay decisions,5,3,3,0,0,0,0,0,0,0,0,0,0
Adopting administrative law judges' decisions: Supplemental decisions,3,3,3,0,0,0,0,0,0,0,0,0,0
Contested: Initial ULP decisions,528,350,289,24,2,0,1,0,0,1,3,15,0
Decisions based on stipulated record,6,2,2,0,0,0,0,0,0,0,0,0,0
Supplemental ULP decisions,41,21,17,0,2,0,0,0,0,0,0,2,0
Backpay decisions,33,11,11,0,0,0,0,0,0,0,0,0,0
