Action taken,Total all,Employer — Total,Employer — Pursuant to — Agreement of parties — Informal settlement,Employer — Pursuant to — Agreement of parties — Formal settlement,Employer — Pursuant to — Recommendation of administrative law judge,Employer — Pursuant to — Order of — Board,Employer — Pursuant to — Order of — Court,Union — Total,Union — Pursuant to — Agreement of parties — Informal settlement,Union — Pursuant to — Agreement of parties — Formal settlement,Union — Pursuant to — Recommendation of administrative law judge,Union — Pursuant to — Order of — Board,Union — Pursuant to — Order of — Court
A. By number of cases involved,11916,,,,,,,,,,,,
Notice posted,1924,1667,1408,5,57,80,117,257,223,4,8,16,6
Recognition or other assistance withdrawn,5,5,4,0,0,0,1,,,,,,
Employer-dominated union disestablished,1,1,1,0,0,0,0,,,,,,
Employees offered reinstatement,1334,1334,1211,0,23,40,60,,,,,,
Employees placed on preferential hiring list,50,50,46,0,2,1,1,,,,,,
Hiring hall rights restored,23,,,,,,,23,21,0,0,2,0
Objections to employment withdrawn,5,,,,,,,5,4,0,0,1,0
Picketing ended,113,,,,,,,113,112,0,0,1,0
Work stoppage ended,16,,,,,,,16,15,0,0,1,0
Collective bargaining begun,3029,2882,2772,4,17,36,53,147,145,0,0,1,1
Backpay distributed,2109,2049,1868,2,37,62,80,60,45,0,1,10,4
"Reimbursement of fees, dues, and fines",108,43,38,0,1,1,3,65,63,0,0,2,0
Other conditions of employment improved,0,0,0,0,0,0,0,0,0,0,0,0,0
Other remedies,,,,,,,,,,,,,
