Participating union,Percent of elections won by Unions,Number of valid votes cast — Total,Number of valid votes cast — For Unions,Number of valid votes cast — Against participating Unions,Elections won by Unions — Number,Number of employees eligible to vote — Number of elections,Number of employees eligible to vote — Total,Number of employees in units chosen — Representation by participating unions — Number of elections,Number of employees in units chosen — Representation by participating unions — Total,col_10,col_11
C. Elections in RM cases — Other national unions,1,100.0,1,1,0,0,10,10,10,0,
C. Elections in RM cases — Other local unions,2,100.0,2,2,2,0,383,383,383,0,
C. Elections in RM cases — AFL-CIO,53,32.1,17,16,1,36,1827,781,704,77,1046
C. Elections in RM cases — AFL-CIO 1-union elections,56,35.7,20,16,2,36,2220,1174,704,87,1046
C. Elections in RM cases — AFL-CIO v. AFL-CIO,2,50.0,1,1,0,1,115,45,45,0,70
C. Elections in RM cases — Local v. Local,1,100.0,1,1,0,1,0,42,42,0,0
C. Elections in RM cases — 2-union elections,3,66.7,2,1,0,1,157,87,45,0,42
C. Total RM elections,59,37.3,22,17,2,37,2377,1261,749,87,425
D. Elections in RD cases — Other local unions,7,42.9,3,3,4,170,104,104,104,66,
D. Elections in RD cases — Other national unions,12,50.0,6,6,6,549,412,412,412,137,
D. Elections in RD cases — AFL-CIO,395,34.9,138,135,3,257,27205,10502,10340,162,16703
D. Elections in RD cases — AFL-CIO 1-union elections,414,35.5,147,135,9,267,27924,11018,10340,574,16906
D. Elections in RD cases — AFL-CIO v. AFL-CIO,5,60.0,3,3,0,2,421,249,249,0,172
D. Elections in RD cases — AFL-CIO v. Local,2,50.0,1,1,0,1,373,143,143,0,230
D. Elections in RD cases — 2-union elections,7,57.1,4,4,0,3,794,392,392,0,230
D. Total RD elections,421,35.9,151,139,9,270,28718,11410,10732,574,17308
