Participating unions,Total valid votes cast,Valid votes cast in elections won — Total votes won,Valid votes cast in elections won — Votes for unions — AFL-CIO unions,Valid votes cast in elections won — Votes for unions — Other national unions,Valid votes cast in elections won — Votes for unions — Other local unions,Valid votes cast in elections won — Total votes for no union,Valid votes cast in elections lost — Total,Valid votes cast in elections lost — Votes for unions — AFL-CIO unions,Valid votes cast in elections lost — Votes for unions — Other national unions,Valid votes cast in elections lost — Votes for unions — Other local unions,Valid votes cast in elections lost — Total votes for no union
A. All representation elections — AFL-CIO,143394,38977,38977,,,16907,30810,30810,,,56500
A. Other local unions,7349,2626,,,2626,843,1287,,,1287,2593
A. Other national unions,5130,1504,,1504,,647,975,,975,,2004
A. 1-union elections,155873,43107,38977,1504,2626,18397,33072,30810,975,1287,61297
A. AFL-CIO v. AFL-CIO,4228,2448,2448,,,219,807,807,,,754
A. AFL-CIO v. National,4142,3543,1812,1731,,109,366,77,289,,124
A. AFL-CIO v. Local,414,262,146,,116,19,58,57,,1,72
A. Local v. Local,1364,1355,,,1355,0,9,,,0,0
A. National v. National,277,276,,159,1,0,0,,,,0
A. National v. Local,367,348,,348,,19,0,,,0,0
A. 2-union elections,10832,8232,4376,611,3245,439,1231,941,1,289,910
A. AFL-CIO v. AFL-CIO v. AFL-CIO,20,20,20,,,0,,,,,0
A. Total representation elections,166809,51434,43435,2117,5882,18865,34303,31751,976,1576,62207
B. Elections in RC cases — AFL-CIO,119049,32699,32699,,,13814,25705,25705,,,46831
B. Other local unions,6849,2314,,,2314,727,1274,,,1274,2534
B. Other national unions,4640,1285,,1285,,496,923,,923,,1966
B. 1-union elections,130538,36298,32699,1285,2314,15037,27902,25705,923,1274,51331
