row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Connecticut..............................................,51,25,23,2,0,26,3463,2984,1179,1145,34,0,1805,755
Maine........................................................,5,1,0,0,1,4,130,121,39,35,0,4,82,7
Massachusetts............................................,75,39,31,2,6,36,3805,3435,1847,1681,60,106,1588,1671
New Hampshire........................................,6,5,5,0,0,1,698,501,449,449,0,0,52,633
Rhode Island............................................,14,9,6,0,3,5,865,757,554,372,0,182,203,619
Vermont....................................................,8,4,3,1,0,4,2286,2115,1072,1027,45,0,1043,1408
New England........................................,159,83,68,5,10,76,11247,9913,5140,4709,139,292,4773,5093
Puerto Rico................................................,55,34,17,0,17,21,2693,2339,1183,506,0,677,1156,1354
Virgin Islands............................................,4,4,2,0,2,0,55,43,31,14,0,17,12,55
Outlying Areas....................................,59,38,19,0,19,21,2748,2382,1214,520,0,694,1168,1409
Alaska........................................................,23,7,6,1,0,16,790,668,278,238,40,0,390,251
American Samoa......................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California..................................................,304,168,146,8,14,136,28809,23626,12676,11132,249,1295,10950,12396
Federated States of Micronesia................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam........................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii......................................................,30,16,11,5,0,14,1235,1012,512,424,88,0,500,702
Marshall Islands........................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands..........................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon......................................................,49,31,27,3,1,18,2334,2139,923,675,58,190,1216,559
Palau..........................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington..............................................,108,70,64,5,1,38,4101,3379,2005,1868,113,24,1374,2696
Pacific..................................................,514,292,254,22,16,222,37269,30824,16394,14337,548,1509,14430,16604
