Type of proceeding,Fiscal Year 2003 — Number of proceedings — Total,Fiscal Year 2003 — Number of proceedings — vs. employers only,Fiscal Year 2003 — Number of proceedings — vs. unions only,Fiscal Year 2003 — Number of proceedings — vs. both employers and unions,Fiscal Year 2003 — Number of proceedings — Board dismissal,Fiscal Year 2003 — Percentages — vs. employers only,Fiscal Year 2003 — Percentages — vs. unions only,Fiscal Year 2003 — Percentages — vs. both employers and unions,Fiscal Year 2003 — Percentages — Board dismissal,"July 5, 1936 — Sept. 30, 2003 — Number","July 5, 1936 — Sept. 30, 2003 — Percent"
Proceedings decided by U.S. courts of appeals and other courts,125,116,7,2,0,,,,,,
On proceedings for review and/or enforcement,120,112,6,2,0,100.0,100.0,100.0,0,11692,100.0
Board orders affirmed in full,90,83,5,2,0,74.1,83.3,100.0,,7723,66.1
Board orders affirmed with modification,6,6,0,0,0,5.4,0,0,,1542,13.2
Remanded to the Board,9,9,0,0,0,8.0,0,0,,585,5.0
Board orders partially affirmed and partially remanded,7,7,0,0,0,6.3,0,0,,262,2.2
Board orders set aside in full,8,7,1,0,0,6.3,16.7,0,,1580,13.5
On petitions for contempt,5,4,1,0,0,,,,,,
Ancillary proceedings in district courts and/or bankruptcy,16,16,0,0,0,,,,,,
Total Court Orders,37,36,1,0,0,100.0,100.0,,,,
"Compliance after filing of petition, before court order",18,18,0,0,0,50.0,0,,,,
Court orders holding respondent in contempt,6,6,0,0,0,16.7,0,,,,
Court orders denying petition and/or discontinuing proceedings as CLCB dispute,7,7,0,0,0,19.4,0,,,,
Court orders directing compliance without contempt adjudication,6,5,1,0,0,13.9,100.0,,,,
Proceedings decided by U.S. Supreme Court,0,0,0,0,0,,,,,259,100.0
Board orders affirmed in full (Supreme Court),0,0,0,0,0,,,,,155,59.8
