Stage,Median days
I. Unfair Labor Practice Cases:,
I.A. Major Stages Completed —,
I.A.1. Filing of charge to issuance of complaint,90
I.A.2. Complaint to close of hearing,113
I.A.3. Close of hearing to administrative law judge's decision,82
I.A.4. Receipt of briefs or submissions to issuance of administrative law judge's decision,33
I.A.5. Administrative law judge's decision to issuance of Board decision,420
I.A.6. Originating document to Board decision,291
I.A.7. Assignment to Board decision,246
I.A.8. Filing of charge to issuance of Board decision,647
"I.B. Age of cases pending administrative law judge's decision, September 30, 2002",
I.B.1. From filing of charge,236
I.B.2. From close of hearing,67
"I.C. Age of cases pending Board decision, September 30, 2002",
I.C.1. From filing of charge,1030
I.C.2. From originating document,455
I.C.3. From assignment,386
II. Representation cases:,
II.A. Major stages completed —,
II.A.1. Filing of petition to notice of hearing issued,1
II.A.2. Notice of hearing to close of hearing,13
II.A.3. Close of hearing to Regional Director's decision issued,22
II.A.4. Close of pre-election hearing to Board's decision issued,145
II.A.5. Close of post-election hearing to Board's decision issued,245
II.A.6. Filing of petition to —,
II.A.6.a. Board decision issued,265
II.A.6.b. Regional Director's decision issued,40
II.A.7. Originating document to Board decision,105
II.A.8. Assignment to Board's decision,93
"II.B. Age of cases pending Board decision, September 30, 2002",
II.B.1. From filing of petition,473
II.B.2. From originating document,319
II.B.3. From assignment,278
"II.C. Age of cases pending Regional Director's decision, September 30, 2002",155
