Action taken,Cases / Amount
I. Applications for fees and expenses filed with the NLRB under 5 U.S.C. § 504:,
I.A. Number of applications filed,1
I.B. Decisions in EAJA cases ruled on (includes ALJ awards adopted by the Board and settlements):,
I.B. Granting fees,1
I.B. Denying fees,0
"I.C. Amount of fees and expenses in cases listed in B, above:",
I.C. Claimed,108883.63
I.C. Recovered,12399.55
II. Petitions for review of Board Orders denying fees under 5 U.S.C. § 504:,
II.A. Awards granting fees (includes settlements),0
II.B. Awards denying fees,0
II.C. Amount of fees and expenses recovered pursuant to court award or settlement (includes fees recovered in cases in which court finds merit to claim but remands to Board for determination of fee amount),0
III. Applications for fees and expenses before the circuit courts of appeals under 28 U.S.C. § 2412,
III.A. Awards granting fees (includes settlements),1
III.B. Awards denying fees,0
III.C. Amount of fees and expenses recovered,29446.40
IV. Applications for fees and expenses before the district courts under 28 U.S.C. § 2412:,
IV.A. Awards granting fees (includes settlements),0
IV.B. Awards denying fees,0
IV.C. Amount of fees and expenses recovered,0
