Stage / Case type,Total,Identification of filing party — AFL-CIO Unions,Identification of filing party — Other National Unions,Identification of filing party — Other local Unions,Identification of filing party — Individuals,Identification of filing party — Employers
"Pending October 1, 2003",22120,13718,628,722,6201,851
Received fiscal 2004,31787,16835,960,874,11666,1452
On docket fiscal 2004,53907,30553,1588,1596,17867,2303
Closed fiscal 2004,34851,18986,1061,1009,12300,1495
"Pending September 30, 2004",19056,11567,527,587,5567,808
"Pending October 1, 2003 (ULP)",20513,12683,593,634,5838,765
Received fiscal 2004 (ULP),26890,13525,749,639,10693,1284
On docket fiscal 2004 (ULP),47403,26208,1342,1273,16531,2049
Closed fiscal 2004 (ULP),29954,15688,853,755,11317,1341
"Pending September 30, 2004 (ULP)",17449,10520,489,518,5214,708
"Pending October 1, 2003 (Rep)",1453,984,34,82,296,57
Received fiscal 2004 (Rep),4588,3187,202,215,843,141
On docket fiscal 2004 (Rep),6041,4171,236,297,1139,198
Closed fiscal 2004 (Rep),4605,3186,198,236,853,132
"Pending September 30, 2004 (Rep)",1436,985,38,61,286,66
"Pending October 1, 2003 (UD)",62,,,,62,
Received fiscal 2004 (UD),127,,,,127,
On docket fiscal 2004 (UD),189,,,,189,
Closed fiscal 2004 (UD),125,,,,125,
"Pending September 30, 2004 (UD)",64,,,,64,
"Pending October 1, 2003 (AC)",5,5,0,0,0,0
Received fiscal 2004 (AC),17,7,2,1,0,7
On docket fiscal 2004 (AC),22,12,2,1,0,7
Closed fiscal 2004 (AC),12,8,2,1,0,1
"Pending September 30, 2004 (AC)",10,4,0,0,0,6
"Pending October 1, 2003 (UC)",87,46,1,6,5,29
Received fiscal 2004 (UC),165,116,7,19,3,20
On docket fiscal 2004 (UC),252,162,8,25,8,49
Closed fiscal 2004 (UC),155,104,8,17,5,21
"Pending September 30, 2004 (UC)",97,58,0,8,3,28
