row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
Total all circuits,62,451,46,74.2,306,67.8,3,4.8,31,6.9,3,4.8,37,8.2,0,0.0,26 5.8,10,16.1,51,11.3
"Boston, MA……..",1,12,1,100.0,8,66.7,0,0.0,0,0.0,0,0.0,0,0.0 0,,0.0,1 8.3,0,0.0,3,25.0
"New York, NY….",2,25,1,50.0,21,84.0,0,0.0,0,0.0,0,0.0,2,8.0 0,,0.0,1 4.0,1,50.0,1,4.0
"Philadelphia, PA..",4,30,2,50.0,25,83.3,0,0.0,3,10.0,1,25.0,0,0.0,0,0.0,1 3.3,1,25.3,1,3.3
"Richmond, VA….",3,35,1,33.3,20,57.1,1,33.3,3,8.6,0,0.0,3,8.6,0,0.0,3 8.6,1,33.3,6,17.1
"New Orleans, LA.",3,15,2,66.7,9,60.0,0,0.0,3,20.0,0,0.0,0,0.0 0,0.0,1,6.7,1,33.3,2,13.3
"Cincinnati, OH…..",11,73,8,72.7,53,72.6,1,9.1,6,8.2,0,0.0,0,0.0,0,0.0,6 8.2,2,18.2,8,11.0
"Chicago, IL……...",9,33,7,77.8,21,63.6,1,11.1,1,3.0,0,0.0,1,3.0,0,0.0,4 12.1,1,11.1,6,18.2
"St. Louis, MO…...",5,22,4,80.0,16,72.7,0,0.0,2,9.1,1,20.0,1,4.5,0 0.0,1,4.5,0,0.0,2,9.1
"San Francisco, CA",3,20,3,100.0,14,70.0,0,0.0,0,0.0,0,0.0,2,10.0,0,0.0 3,15.0,0,0.0,1,5.0
"Denver, CO…..…",3,18,3,100.0,12,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3 16.7,0,0.0,3,16.7
"Atlanta, GA..……",2,25,2,100.0,20,80.0,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,0 0.0,0,0.0,4,16.0
"Washington, DC...",16,143,12,75.0,87,60.8,0,0.0,13,9.1,1,6.3,27,18.9,0,0.0 2,1.4,3,18.8,14,9.8
