row_label,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / CD / Jurisdictional disputes,Formal actions taken by type of case / CD / Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CG,Formal actions taken by type of case / CP,Formal actions taken by type of case / CA combined with CB,Formal actions taken by type of case / C combined with representation cases,Formal actions taken by type of case / Other C combinations
10(k) notices of hearings issued,22,15,,,,15,,,,,,,
Complaints issued,2164,1373,1160,134,19,,1,3,3,4,26,18,5
Backpay specifications issued,167,65,59,3,1,,0,0,0,0,1,0,0
"Hearings completed, total",699,269,213,21,5,0,1,2,0,0,11,14,2
Initial ULP hearings,625,247,192,20,5,0,1,2,0,0,11,14,2
Backpay hearings,11,7,6,1,0,0,0,0,0,0,0,0,0
Other hearings,63,15,15,0,0,0,0,0,0,0,0,0,0
"Decisions by administrative law judge, total",668,270,215,17,7,0,1,2,0,0,7,15,2
Initial ULP decisions,623,249,198,17,7,0,1,2,0,0,7,15,2
Backpay decisions,12,7,7,0,0,0,0,0,0,0,0,0,0
Supplemental decisions,33,14,14,0,0,0,0,0,0,0,0,0,0
"Decisions and orders by the Board, total",1025,485,403,26,7,8,1,3,4,4,7,23,3
Upon consent of parties:,,,,,,,,,,,,,
Initial decisions,118,40,26,2,3,0,0,0,0,0,4,3,1
Supplemental decisions,10,3,1,0,0,0,0,0,0,0,0,2,0
Adopting administrative law judges' decisions (no exceptions filed),,,,,,,,,,,,,
Initial ULP decisions,157,84,67,8,1,0,0,0,0,0,3,3,1
Backpay decisions,15,7,7,0,0,0,0,0,0,0,0,0,0
Supplemental decisions,4,3,3,0,0,0,0,0,0,0,0,0,0
Contested:,,,,,,,,,,,,,
Initial ULP decisions,624,315,267,14,3,0,0,0,0,0,3,16,1
