row_label,Total all,Remedial action taken by- / Employer / Total,Remedial action taken by- / Employer / Pursuant to- / Agreement of parties / Informal settlement,Remedial action taken by- / Employer / Pursuant to- / Agreement of parties / Formal settlement,Remedial action taken by- / Employer / Pursuant to- / Recommendation of administrative law judge,Remedial action taken by- / Employer / Pursuant to- / Order of- / Board,Remedial action taken by- / Employer / Pursuant to- / Order of- / Court,Remedial action taken by- / Union / Total,Remedial action taken by- / Union / Pursuant to- / Agreement of parties / Informal settlement,Remedial action taken by- / Union / Pursuant to- / Agreement of parties / Formal settlement,Remedial action taken by- / Union / Pursuant to- / Recommendation of administrative law judge,Remedial action taken by- / Union / Pursuant to- / Order of- / Board
A. By number of cases involved,10744,,,,,,,,,,,
Notice posted,1728,1455,1166,5,75,120,89,273,238,1,8,13
Recognition or other assistance withdrawn,9,9,8,0,0,0,1,0,0,0,0,0
Employer-dominated union disestablished,5,5,4,0,0,0,1,0,0,0,0,0
Employees offered reinstatement,1042,1042,911,1,30,46,54,0,0,0,0,0
Employees placed on preferential hiring list,29,29,25,0,3,0,1,0,0,0,0,0
Hiring hall rights restored,20,,,,,,,20,19,0,1,0
Objections to employment removed,6,,,,,,,6,4,0,2,0
Picketing ended,71,,,,,,,71,70,0,1,0
Work stoppage ended,17,,,,,,,17,16,0,1,0
Collective bargaining begun,2332,2222,2007,4,24,55,44,110,106,0,2,1
Backpay distributed,1787,1732,1580,2,36,61,53,55,50,0,1,2
"Reimbursement of fees, dues, etc.",153,59,50,0,1,4,4,94,87,0,5,2
Conditions of employment improved,,,,,,,,,,,,
Other remedies,,,,,,,,,,,,
