row_label,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC,Unit clarification cases / UC,Unit clarification cases / UC
"Museums, Historical Sites and Similar Institutions",24,20,18,2,0,0,0,0,0,4,3,1,0,0,0,0,0,0
"Amusement, Gambling and Recreation Industries",294,277,221,54,1,0,0,0,1,14,9,1,4,0,0,3,0,0
"Arts, Entertainment and Recreation",549,489,357,123,5,0,0,1,3,54,46,2,6,0,0,6,0,2
Accommodation,908,862,704,138,12,5,0,0,0,44,37,0,7,0,0,2,0,0
Foodservices and Drinking Places,408,350,250,83,8,0,0,4,5,55,37,1,17,0,0,3,0,0
Accommodation and Foodservices,1314,1212,954,221,20,7,0,5,5,96,64,2,30,0,0,6,0,0
Repair and Maintenance,275,234,165,44,4,0,0,0,1,39,46,2,11,0,1,1,0,0
Personal and Laundry Services,312,266,220,43,3,0,0,0,0,45,32,1,12,0,0,1,0,0
"Religious, Grantmaking, Civic, and Professional and Similar Organizations",460,397,244,152,0,0,0,0,1,52,42,0,10,1,0,10,0,0
Private Households,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Services (except Public Administration),1052,902,633,240,8,0,0,0,2,136,120,3,33,1,1,11,0,0
"Executive, Legislative, and Other General Government",19,15,10,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0
"Justice, Public Order, and Safety",56,39,23,12,1,0,0,0,0,14,13,0,1,1,0,2,0,0
Administration of Human Resource Programs,13,10,8,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0
"Administration of Housing Programs, Urban Planning, and Community Development",4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Administration of Economic Programs,18,14,9,5,0,0,0,0,0,3,2,1,0,0,0,1,0,0
Space Research and Technology,3,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
National Security and International Affairs,11,10,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Public Administration,124,95,67,26,1,0,0,0,1,24,19,1,4,1,0,4,0,0
Unclassified Establishments,844,322,227,86,4,1,0,0,4,99,74,3,22,0,0,5,0,0
Total,29852,24718,18299,5811,360,104,4,32,108,4378,4012,108,758,23,10,184,8,144
