row_label,All cases / Number,All cases / Per-cent of total closed,All cases / Per-cent of total method,CA cases / Number,CA cases / Per-cent of total closed,CA cases / Per-cent of total method,CB cases / Number,CB cases / Per-cent of total closed,CB cases / Per-cent of total method,CC cases / Number,CC cases / Per-cent of total closed,CC cases / Per-cent of total method,CD cases / Number,CD cases / Per-cent of total closed,CD cases / Per-cent of total method,CE cases / Number,CE cases / Per-cent of total closed,CG cases / Number,CG cases / Per-cent of total closed,CP cases / Number,CP cases / Per-cent of total closed
Total number of cases closed,26857,100.0,,20250,100.0,,6017,100.0,,343,100.0,,105,100.0,,36,100.0,39,100.0,67,100.0
Agreement of the parties,9722,36.2,100.0,8417,41.6,86.6,1125,18.7,11.6,110,32.1,1.1,16,15.2,0.2,6,16.7,17,50.0,31,43.1
Informal settlement,9689,36.1,99.7,8391,41.4,86.4,1125,18.7,11.6,109,31.8,1.1,16,15.2,0.2,6,16.7,13,41.2,29,33.4
Before issuance of complaint,7850,29.2,80.7,6808,33.6,70.0,899,14.9,9.7,97,28.3,1.0,15,14.3,0.2,2,5.6,13,41.2,26,26.4
"After issuance of complaint, before opening of hearing",1764,6.6,18.1,1518,7.5,15.6,215,3.6,2.2,12,3.5,0.1,1,1.0,0.0,4,11.1,2,6.6,3,6.0
"After hearing opened, before issuance of administrative law judge's decision",75,0.3,0.8,66,0.3,0.7,9,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Formal settlement,33,0.1,0.3,26,0.1,0.2,0,0,0,1,0.3,0.0,0,0,0,0,0,4,8.8,6,8.3
Before opening of hearing,33,0.1,0.3,26,0.1,0.2,0,0,0,1,0.3,0.0,0,0,0,0,0,4,8.8,6,8.3
Stipulated decision,24,0.1,0.2,24,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consent decree,9,0.0,0.1,2,0.0,0.0,0,0,0,1,0.3,0.0,0,0,0,0,0,0,0,0,0
After hearing opened,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stipulated decision (after hearing),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consent decree (after hearing),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compliance with,740,2.8,100.0,602,3.0,81.4,128,2.1,17.3,5,1.5,1.0,1,1.0,0.1,1,2.8,0,0,3,4.2
Administrative law judge's decision,4,0.0,0.5,3,0.0,0.4,1,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Board decision,505,1.9,68.2,385,1.9,52.0,116,1.9,15.7,2,0.6,0.3,0,0,0,1,2.8,0,0,1,1.4
Adopting administrative law judge's decision on exceptions filed,147,0.5,19.9,131,0.6,17.7,254,1.3,117,0,0,0,0,0,0,0,0,0,0,0,0
Contested,358,1.3,48.4,254,1.3,34.3,101,1.7,13.6,2,0.6,0.3,0,0,0,1,2.8,0,0,0,0
Circuit court of appeals decree,231,0.9,31.2,214,1.1,29.0,11,0.2,1.5,3,0.9,0.4,1,1.0,0.1,0,0,0,0,2,2.8
